region,okato,year,VDS_r,ITusage_r,AIusage_r,BDusage_r
Северо-Кавказский федеральный округ,038,2021,0.34070231742953583,0.8974570825300652,0.3985084546695725,0.4439545826513912
Северо-Кавказский федеральный округ,038,2022,0.32183310216038646,0.937207380886808,0.5560378757542491,0.5115433190989177
Северо-Кавказский федеральный округ,038,2023,0.33155178483860803,0.9604333057927109,0.44848021410820116,0.26896885181223235
Северо-Кавказский федеральный округ,038,2024,0.3249497229014453,1.0,0.43631480786491683,0.17687642464123943
Алтайский край,1,2021,0.11050189730147064,0.3124024602956027,0.3393378899142634,0.3567968813499978
Алтайский край,1,2022,0.09932306622325233,0.30946479390434223,0.32813559113622287,0.38720690242809447
Алтайский край,1,2023,0.09777356710108193,0.30946479390434223,0.25601787879859145,0.2102614919494815
Алтайский край,1,2024,0.09856791666457461,0.3158909391352245,0.34265554205383725,0.13272922888571484
Амурская область,10,2021,0.0690437161930687,0.170935463141467,0.3133518474201789,0.4275738738944626
Амурская область,10,2022,0.06405641771118538,0.16331589093913523,0.4851243785441551,0.47558035233755513
Амурская область,10,2023,0.07490677946297197,0.162673276416047,0.35670592638510396,0.22464518995245183
Амурская область,10,2024,0.07928436000835797,0.16992564031947122,0.3020800967408739,0.14359633090796234
Архангельская область,11,2021,0.13497452170614999,0.2547507573671165,0.3285254166083182,0.3048855664174813
Архангельская область,11,2022,0.12519119912280124,0.23712475901955385,0.37176918031208445,0.3352781278572664
Архангельская область,11,2023,0.11725812680166847,0.2225282291379785,0.3234430308315806,0.160102433115652
Архангельская область,11,2024,0.11124832039537286,0.2267511245754154,0.24114031591533638,0.05102635885950556
Архангельская область (кроме Ненецкого автономного округа),11001,2021,0.08427398717765013,0.22702653079959606,0.34652589940266804,0.3083097452486858
Архангельская область (кроме Ненецкого автономного округа),11001,2022,0.07405364946849373,0.20985954282566785,0.3961418682768281,0.3477229575026526
Архангельская область (кроме Ненецкого автономного округа),11001,2023,0.07064362378504255,0.19581382539245387,0.3476239405930493,0.1655639345243439
Архангельская область (кроме Ненецкого автономного округа),11001,2024,0.06494273605517793,0.19893509593316808,0.2327876221513948,0.053554281338059284
Ненецкий автономный округ (Архангельская область),111,2021,0.05070052463336437,0.027724226567520428,0.1811241121367052,0.27684585035930676
Ненецкий автономный округ (Архангельская область),111,2022,0.051137554879636865,0.027265216193885982,0.18417333961375415,0.23949065119277885
Ненецкий автономный округ (Архангельская область),111,2023,0.0466144993139965,0.02671440374552465,0.14619945515730998,0.12007019083132267
Ненецкий автономный округ (Архангельская область),111,2024,0.04630558820246483,0.027816028642247314,0.3008772379828657,0.03294712449968401
Астраханская область,12,2021,0.08298520762211242,0.13100156063527035,0.3918362011684356,0.3139356483621345
Астраханская область,12,2022,0.08046675363693866,0.13504085192325346,0.5990954657048359,0.4216128845625352
Астраханская область,12,2023,0.07276007453150989,0.1354998622968879,0.518829773789966,0.22657844663553017
Астраханская область,12,2024,0.06908803310428786,0.13531625814743414,0.4618077769419507,0.16000534080083142
Белгородская область,14,2021,0.16971834624554538,0.2653997980354356,0.5003450049555257,0.3435857429881437
Белгородская область,14,2022,0.13508913290173755,0.26971449554759935,0.5254393916414184,0.4833487826427009
Белгородская область,14,2023,0.12548525829509366,0.2595244652529147,0.3826792348394735,0.2282101167315175
Белгородская область,14,2024,0.11701880655087325,0.27173414119159095,0.39833706763758575,0.15176825761932147
Брянская область,15,2021,0.060771741605646024,0.19370237767373544,0.4234241092257447,0.2826933548452153
Брянская область,15,2022,0.058001166041815766,0.19664004406499586,0.24685418208734272,0.2691489361702128
Брянская область,15,2023,0.059737812078167724,0.18865326356375653,0.2425173026738777,0.1214474297251126
Брянская область,15,2024,0.055938614626956866,0.18966308638575233,0.2971199133265453,0.059192395625218844
Владимирская область,17,2021,0.09157357916745683,0.2523639034242174,0.592516920896341,0.3522549785995681
Владимирская область,17,2022,0.08229276482844505,0.2530065179473056,0.8225651804447386,0.5188903128184541
Владимирская область,17,2023,0.08271457521532477,0.24382631047461673,0.45765965416068427,0.25464864778261986
Владимирская область,17,2024,0.07488770643349886,0.2414394565317176,0.522267972182273,0.15705161394709163
Волгоградская область,18,2021,0.13480673731466414,0.3746442669604333,0.3380648093718775,0.36968332751150895
Волгоградская область,18,2022,0.1282350057122972,0.3739098503626182,0.6341839155617239,0.491121866364382
Волгоградская область,18,2023,0.1293156469437279,0.3756540897824291,0.3044801179098354,0.23115523803581456
Волгоградская область,18,2024,0.1172576493221137,0.38648673460020194,0.30605146886884177,0.1363470965785617
Вологодская область,19,2021,0.12867893221948043,0.2177545212521803,0.471458903092207,0.3398505615155538
Вологодская область,19,2022,0.10793497747910415,0.2020563664738823,0.7759379274140582,0.4586682069078852
Вологодская область,19,2023,0.10146148782618962,0.1922335444781052,0.3482934216191339,0.2181094921660672
Вологодская область,19,2024,0.09347006026299741,0.19994491875516388,0.4408998130147448,0.1552678623761796
Воронежская область,20,2021,0.1632942387388762,0.3615165702744882,0.43368191423015284,0.31054212636288
Воронежская область,20,2022,0.14647992236966223,0.37923437069677773,0.7459220878909998,0.4380089309167324
Воронежская область,20,2023,0.14301313570870658,0.36518865326356376,0.5133519330410523,0.20860611020185488
Воронежская область,20,2024,0.13267290320263284,0.3829064536858533,0.5449693976295741,0.17442090013619876
Нижегородская область,22,2021,0.2468725236766801,0.49260993298448547,0.3635758826926011,0.35301345746663393
Нижегородская область,22,2022,0.2438822975691002,0.46864959148076746,0.49764682598082755,0.4260610165253089
Нижегородская область,22,2023,0.25639824734053757,0.47278068484347746,0.38826600935660743,0.2200132204090064
Нижегородская область,22,2024,0.23792459381472925,0.49839346369227944,0.4265263214153123,0.14480743681489872
Ивановская область,24,2021,0.03896318206045148,0.16047002662260168,0.49372784292337063,0.33624020156774914
Ивановская область,24,2022,0.03845799541046467,0.16212246396768568,0.6710959458745798,0.4465771909110624
Ивановская область,24,2023,0.04076534268826603,0.161020839070963,0.39155210001122526,0.21272168174870812
Ивановская область,24,2024,0.03883858067760436,0.1657945469567612,0.4745063949184928,0.13680992436558986
Иркутская область,25,2021,0.24810263744756486,0.39713577526852106,0.28941524796447077,0.5203794965621035
Иркутская область,25,2022,0.24809140485304512,0.40236849352795373,0.14421238912945566,0.5850736161474944
Иркутская область,25,2023,0.2380949745302611,0.3905260258881851,0.15430037197541602,0.2581400234072563
Иркутская область,25,2024,0.23080810659555973,0.40631598274120995,0.14418450559459062,0.11700565324821413
Республика Ингушетия,26,2021,0.008975192182688458,0.032314330303864866,0.345325011775789,0.4963128626692456
Республика Ингушетия,26,2022,0.008823795225088586,0.03589461121821353,0.5906735751295337,0.651063829787234
Республика Ингушетия,26,2023,0.008813165627780433,0.03745524648857064,0.5958549222797928,0.3394946808510638
Республика Ингушетия,26,2024,0.008388448954889074,0.036996236114936194,0.5881664716697309,0.19198036006546645
Калининградская область,27,2021,0.08653117890768054,0.16652896355457633,0.35514792831803305,0.444391142180206
Калининградская область,27,2022,0.0780212524813475,0.16698797392821077,0.6214711152002325,0.5165738715450388
