region,okato,year,factoriescap_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Ленинградская область,41,2023,0.22768357620188892,0.12601336499524102,0.17348131742910108,0.2623636041168704
Ленинградская область,41,2024,0.22975134042437012,0.1514486885734659,0.04730469610981368,0.2075636535017727
Липецкая область,42,2020,0.13246523845704372,0.15888629616512603,0.03620755623836808,0.1762234491654016
Липецкая область,42,2022,0.14691640928516306,0.16668527169405112,0.013201406634358193,0.239724471000462
Липецкая область,42,2023,0.14456617524232512,0.16177047441755213,0.05589379445607134,0.2778810626366419
Липецкая область,42,2024,0.13318568119045,0.17990775605657766,0.12907203532016892,0.26292937201597505
Магаданская область,44,2020,0.04102065346653154,0.13940143325756238,0.006134908323815835,0.4529909154370302
Магаданская область,44,2021,0.041578953503892346,0.5203149961998531,0.1274209140527754,0.06827117595761106
Магаданская область,44,2024,0.04482057663809269,0.10978771253670452,0.10957253043402924,0.21566832284333057
Московская область,46,2020,0.6404418356350833,0.3533262593137297,0.1137191440836455,0.30689466939945415
Московская область,46,2021,0.6652554974586784,0.3994935987019342,0.13623580978898964,0.3161822094086308
Московская область,46,2023,0.658313956552538,0.30393116307763973,0.14316347834870372,0.3883209700718281
Московская область,46,2024,0.6578379896175828,0.31465536817065576,0.08897720648883896,0.3387624097721028
Мурманская область,47,2020,0.16859538635754348,0.10241183233473913,0.019694008802243222,0.271869039457715
Мурманская область,47,2021,0.178442138431365,0.10006631245198037,0.031381366051928934,0.5271684500172799
Мурманская область,47,2022,0.14582866345396567,0.13436086343476678,0.16660502546186,0.23898630122259737
Мурманская область,47,2023,0.12785537671052385,0.12441458460359703,0.7801958264002047,0.17619007841665588
Мурманская область,47,2024,0.09776008258390669,0.17416790171222632,0.23980092738900213,0.2689690839607323
Новгородская область,49,2020,0.04017954575493123,0.20642802798635082,0.16322788433459465,0.26050060623580573
Новгородская область,49,2021,0.05303856022385866,0.14187689270665538,0.026504770990438728,0.197849033364762
Новгородская область,49,2022,0.049254835625984046,0.13483888846988068,0.2069637732590808,0.21732994157419444
Приморский край,5,2020,0.060664759237781786,0.594073969870062,0.19037265738345488,0.5882559584629932
Приморский край,5,2021,0.06633956706535955,0.5254225660677372,0.1448658736575809,0.17308710109905268
Приморский край,5,2022,0.05199364562258593,0.6227775378222471,0.04917932928155811,0.496154317061976
Приморский край,5,2023,0.05221748385615654,0.6302967807297548,0.11978258477314778,0.28696195981296385
Новосибирская область,50,2020,0.12411886829927692,0.7225147009450078,0.1915097832814373,0.18402840933944553
Новосибирская область,50,2021,0.1359381952541385,0.8581586044547517,0.017302050261925512,0.26829431367206696
Новосибирская область,50,2022,0.13487707933232077,0.8426692523484794,0.007581523146101084,0.2675219517111797
Новосибирская область,50,2023,0.13882599933718456,0.8356837681124814,0.01410279212575214,0.1617041137126498
Омская область,52,2020,0.1568023363553105,0.16525184276634522,0.021319804778214768,0.23400097623382973
Омская область,52,2021,0.1491334165196423,0.1872293790408984,0.039789344324965295,0.2967536814990489
Омская область,52,2023,0.07585758445760347,0.39468139114626294,0.019782107611983152,0.12137130126181807
Омская область,52,2024,0.17051829452420972,0.1540841072509115,0.06790624451068178,0.1618302526211035
Оренбургская область,53,2020,0.14698193837910317,0.17337179318831913,0.46460767289450816,0.22660769240443068
Оренбургская область,53,2021,0.19561140598273957,0.2342056894976549,0.008207789596889592,0.09432998541769344
Оренбургская область,53,2022,0.17555903815413854,0.17553154060982198,0.03440273521639031,0.14126967121555192
Оренбургская область,53,2023,0.17058542145503172,0.20298186146800848,0.00791699448778501,0.18130875731675558
Оренбургская область,53,2024,0.161806835818933,0.21589536552827857,0.06850053763931913,0.15375347329181122
Орловская область,54,2020,0.027351680893743624,0.23422659988929373,0.018098355208570012,0.36860043453567837
Орловская область,54,2021,0.030250422423578276,0.27791714133161627,0.044253106025233295,0.15254900126645515
Орловская область,54,2022,0.029031222080387192,0.2609687960023033,0.006161179739701613,0.24163815654811174
Орловская область,54,2023,0.028191931964050745,0.25622117029358354,0.0008578524511637002,0.07362927863079612
Пензенская область,56,2020,0.05123053437421968,0.21537082757408826,0.24996400532883908,0.4201028173664695
Пензенская область,56,2021,0.05245703796370543,0.2102987213125413,0.19944437191541514,0.20283248773084936
Пензенская область,56,2022,0.04647675659925896,0.2392148999737463,0.17219840974990686,0.12277720758936883
Пензенская область,56,2023,0.0487671811674663,0.2123085925002708,0.06735432085052663,0.1710709131207414
Пензенская область,56,2024,0.05026343297316213,0.20568939014030552,0.046973396749897284,0.19909467414711066
Пермский край,57,2021,0.27590474701934226,0.2094464937730916,0.11922579219829117,1.0
Пермский край,57,2022,0.2620499909666677,0.25826436309850725,0.04590989401473301,0.5689433907437372
Пермский край,57,2024,0.23560591104519185,0.28438163408656797,0.11424643322000866,0.489385740904679
