region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r
Ивановская область,24,2020,0.039829570611567194,0.8982504864283228,0.06289503220109936,0.33884059880494344
Ивановская область,24,2021,0.04093354263952882,0.3228133080545308,0.14575392479236518,0.19188369744232775
Ивановская область,24,2022,0.04040280879838432,0.4946968525986787,0.521089400410969,0.0736532407667424
Ивановская область,24,2023,0.042826838181650465,0.28866943971634274,0.08246265728655341,0.09583468370967262
Ивановская область,24,2024,0.04080264018885619,0.26389080497190015,0.018961460164361513,0.11834306617857632
Иркутская область,25,2020,0.22001018990406787,0.3488683130884741,0.3374024883067601,0.27053990753756846
Иркутская область,25,2021,0.2606491398259729,0.2668158444038322,0.10935827393079126,0.17314648387038964
Иркутская область,25,2022,0.2606373392013213,0.2728406473877192,0.1694680436872812,0.28954408724604974
Иркутская область,25,2023,0.2501353913309985,0.2723942260271491,0.34636234849631536,0.2805436097061812
Иркутская область,25,2024,0.24248002789453849,0.2651434084642622,0.5029358805849246,0.19321391493986395
Республика Ингушетия,26,2020,0.010327725763305968,0.5088866847778947,0.0012229073272226937,0.03450359750556139
Республика Ингушетия,26,2021,0.009429065915048794,0.5021823991820589,0.005232215292496517,0.22027103742828413
Республика Ингушетия,26,2023,0.009258845708604323,0.39122635926201604,0.006056983704200519,0.1821451817141137
Калининградская область,27,2020,0.08117431798265842,0.27416851291052874,0.08706729612862224,0.22877021747824358
Калининградская область,27,2021,0.09090704388493663,0.31070988552865075,0.5374243734160734,0.18716736869005587
Калининградская область,27,2022,0.081966772125533,0.33314767692764263,0.06324774016431367,0.16646176388965983
Тверская область,28,2021,0.07478448553620026,0.7163902604952397,0.07080174398438606,0.1551469601191513
Тверская область,28,2022,0.06910789698862334,0.5105273168229781,0.032238768216370645,0.16407705755618815
Тверская область,28,2023,0.07316593312668508,0.4723614086231547,0.0773623374040832,0.26130885459500813
Тверская область,28,2024,0.06700235962043734,0.5570862861518768,0.05359127171881891,0.35086943590013425
Калужская область,29,2020,0.0826853495987455,0.3880123415568173,0.028474886596294016,0.20744415752758472
Калужская область,29,2022,0.07653748539269704,0.4345355339897753,0.021025176919965603,0.13370969162304341
Калужская область,29,2023,0.0785722212595228,0.35721758361407135,0.02582358832023329,0.18949421758140542
Калужская область,29,2024,0.07409302363326363,0.3894678111569811,0.11498452885998137,0.15895668979369357
Краснодарский край,3,2022,0.47649588924458863,0.298702520012165,0.34828090304069764,0.1371842257930411
Краснодарский край,3,2023,0.4692519230920089,0.29215057131982053,0.4026891019033886,0.1381449770772946
Камчатский край,30,2020,0.04357435603265382,0.3794380433107215,0.027172469908108714,0.518109175380374
Камчатский край,30,2021,0.04634883441634762,0.3461221078140783,0.2772034424148056,0.2479216440481566
Камчатский край,30,2022,0.03972525492922085,0.4035188334604748,0.09318628707645726,0.3357043216794587
Камчатский край,30,2023,0.04241496506014286,0.391809044718562,0.029153408257473267,0.13073851186820837
Камчатский край,30,2024,0.037731528592037225,0.40769591692713586,0.02833869094129985,0.15790168625455478
Кемеровская область - Кузбасс,32,2021,0.2400810627610886,0.22894073159911663,0.07978082406259494,0.24695455365364608
Кемеровская область - Кузбасс,32,2022,0.24056388028530765,0.23657250389125192,0.147648685386091,0.20486066911382564
Кемеровская область - Кузбасс,32,2023,0.18558818047376893,0.2775148526811511,0.01932418711673651,0.2767489584451258
Кемеровская область - Кузбасс,32,2024,0.14758050314584498,0.356716760357364,0.14449417798011044,0.1551174500054144
Кировская область,33,2020,0.05875813318651416,0.34729601981239566,0.09215767937994093,0.2568306625548468
Кировская область,33,2021,0.06493265678167032,0.4328464494215856,0.011331099265166516,0.5974873272355709
Кировская область,33,2022,0.061085588384191536,0.40609164815927784,0.014130255074897345,0.13021219564916028
Кировская область,33,2023,0.059441594168007234,0.4723039872948264,0.019860020866053398,0.22239707795015082
Кировская область,33,2024,0.057992315476626824,0.7453966286536025,0.02356574866818451,0.3199374247766671
Самарская область,36,2020,0.24384062817083293,0.8825315988859859,0.2312558295378685,0.186701914276344
Самарская область,36,2022,0.2670222618204865,0.516950734057705,0.06957965816834616,0.25743615498938377
Самарская область,36,2023,0.26604013894791173,0.5319792610632414,0.02702348335259912,0.3805225410191479
Самарская область,36,2024,0.2691237971629912,0.5577285281490587,0.05078750492718401,0.3223477313157933
Курганская область,37,2020,0.03534802918319343,0.3135987149674231,0.010426111178294086,0.10872514431935866
Курганская область,37,2021,0.035987800087089274,0.2936061472621979,0.021324138546861424,0.09999245617153883
Курганская область,37,2022,0.03733104344157795,0.2790176408401516,0.01715257911767371,0.41712290500294946
Курганская область,37,2023,0.03693319204194135,0.4916263503468027,0.1779000705004289,0.2977580160514822
Курганская область,37,2024,0.03739197453135579,0.9451525500012137,0.002634586478781663,0.10109849410919586
Курская область,38,2020,0.0765408446522461,0.22782526799492153,0.02895622747694608,0.4211740398074836
Курская область,38,2021,0.09060344241381893,0.23359506101196936,0.055004402439220806,0.3883461295036645
Курская область,38,2022,0.07363192015905187,0.25795802669208695,0.10144142004301523,0.15029368284057767
Курская область,38,2023,0.07347195022507419,0.2874215615835153,0.0672263283453163,0.17272472711335762
Курская область,38,2024,0.06752151128238323,0.2755271180661704,0.00596444741271539,0.1439356139464636
