region,okato,year,VDS_r,ITcosts_r,skvozcosts_r,trainingcosts_r,RDcosts_r,RDsalary_r,RDequip_r
Воронежская область,20,2021,0.1618458614570315,0.26552484438089174,0.2896998528933639,0.7124483327711362,0.33465749648240817,0.5135275790715322,0.09101279713639411
Воронежская область,20,2022,0.14518068368589057,0.2998959499698275,0.24295380452534845,0.25443411654610115,0.30014457121819,0.6117200767812967,0.13303889696763782
Воронежская область,20,2023,0.1417446465178718,0.2840459423789804,0.1578771965318197,0.2692113083506708,0.27519613887911976,0.6203714013922769,0.08981643366451661
Воронежская область,20,2024,0.13149612917558123,0.3425204647020913,0.05266065321347183,0.21087150047090342,0.2558787199247687,0.6821469548774157,0.152644795008251
Ивановская область,24,2020,0.03757607773318504,0.8982504864283228,0.06689232948509799,0.33884059880494344,0.10161105220161694,0.6934514122626755,0.24156620424772016
Ивановская область,24,2021,0.038617588804004885,0.3228133080545308,0.15501732362236814,0.19188369744232775,0.09712539403444648,0.7193010574339979,0.26726080989725415
Ивановская область,24,2022,0.0381168830277622,0.4946968525986787,0.5542072663550274,0.0736532407667424,0.08154460946953358,0.767438902291433,0.32714738340100946
Ивановская область,24,2023,0.0404037647373702,0.28866943971634274,0.08770357607563846,0.09583468370967262,0.07867370039459433,0.7677441401533028,0.26259318309853735
Ивановская область,24,2024,0.038494092602905726,0.26389080497190015,0.020166556824035783,0.11834306617857632,0.06997584989635414,0.8274780189702235,0.15107362503764238
Иркутская область,25,2021,0.24590203180207462,0.2668158444038322,0.11630854513772276,0.17314648387038964,0.10194688379644182,0.7457078391982257,0.1963455426831767
Иркутская область,25,2022,0.24589089883773688,0.2728406473877192,0.18023859466799744,0.28954408724604974,0.09882283359963531,0.7661946874562429,0.21897491384008705
Иркутская область,25,2023,0.23598313424309414,0.2723942260271491,0.3683754268980704,0.2805436097061812,0.10893504536616767,0.6769095495709927,0.25392416540702206
Иркутская область,25,2024,0.22876089892528073,0.2651434084642622,0.5348999985626309,0.19321391493986395,0.1527223070597739,0.4472386167603188,0.09812619486726333
Калининградская область,27,2020,0.07658160596812506,0.27416851291052874,0.09260086299646722,0.22877021747824358,0.12904714337963347,0.5589431003086933,0.05270536507712834
Калининградская область,27,2021,0.08576366993327308,0.31070988552865075,0.5715804094817197,0.18716736869005587,0.10596164411628654,0.6443686201516906,0.05458053173049944
Калининградская область,27,2022,0.07732922433346068,0.33314767692764263,0.06726745382261183,0.16646176388965983,0.11746685628791867,0.6715813246181245,0.007382363739994144
Тверская область,28,2021,0.07055329993761995,0.7163902604952397,0.07530155277733244,0.1551469601191513,0.31317539564965524,0.5849947117123091,0.006438880599020668
Тверская область,28,2022,0.0651978836163325,0.5105273168229781,0.034287704930779504,0.16407705755618815,0.2970880297125532,0.5906994162526451,0.012827893728972115
Тверская область,28,2023,0.06902632261345283,0.4723614086231547,0.08227910507820362,0.26130885459500813,0.2204558199465581,0.6406410284817555,0.008465013535288009
Тверская область,28,2024,0.06321147415717288,0.5570862861518768,0.05699726798578518,0.35086943590013425,0.19673514119117327,0.6742825639370782,0.010808497282084998
Калужская область,29,2020,0.07800714585197456,0.3880123415568173,0.030284609604139864,0.20744415752758472,0.5042291227761146,0.5395715889072666,0.4087718702762253
Калужская область,29,2022,0.0722071178890205,0.4345355339897753,0.022361433213293334,0.13370969162304341,0.5449190057151211,0.5093590961167412,0.24863207350032468
Калужская область,29,2023,0.0741267316815965,0.35721758361407135,0.027464807918078777,0.18949421758140542,0.55919489379223,0.5019731450674161,0.6107569582251857
Калужская область,29,2024,0.06990095983414073,0.3894678111569811,0.12229237701314333,0.15895668979369357,0.47621663711149165,0.5043311032450347,0.2934525187935004
Краснодарский край,3,2022,0.44953652020034374,0.298702520012165,0.3704159152836652,0.1371842257930411,0.07530786979242489,0.6429694914088961,0.15832052514150888
Краснодарский край,3,2023,0.4427024059714837,0.29215057131982053,0.4282820302635736,0.1381449770772946,0.06887209807779004,0.6719591505429569,0.17333621258906473
Камчатский край,30,2021,0.04372649210447194,0.3461221078140783,0.29482112267827804,0.2479216440481566,0.14818745774371506,0.8965302421828599,0.12096431683698773
Камчатский край,30,2022,0.03747766406393252,0.4035188334604748,0.09910874675571518,0.3357043216794587,0.152666570682755,0.9184328108728115,0.1128362606106734
Камчатский край,30,2023,0.04001519473291515,0.391809044718562,0.031006254747388322,0.13073851186820837,0.13474758340353296,0.9179660355117306,0.1116312408971142
Камчатский край,30,2024,0.035596739547941056,0.40769591692713586,0.030139758026686517,0.15790168625455478,0.1473140908788298,0.8883277920362292,0.34160418525614117
