sector,okved2,year,PCusage_s
"Производство раковин, моек, ванн и прочих санитарно-технических изделий и их составных частей из черных металлов, меди или алюминия",25.99.2,2018.0,10.0
"Производство раковин, моек, ванн и прочих санитарно-технических изделий и их составных частей из черных металлов, меди или алюминия",25.99.2,2019.0,4.0
"Производство компьютеров, электронных и оптических изделий",26,2017.0,746.0
"Производство компьютеров, электронных и оптических изделий",26,2018.0,762.0
"Производство компьютеров, электронных и оптических изделий",26,2019.0,706.0
"Производство компьютеров, электронных и оптических изделий",26,2021.0,871.0
"Производство компьютеров, электронных и оптических изделий",26,2022.0,903.0
"Производство компьютеров, электронных и оптических изделий",26,2023.0,918.0
"Производство компьютеров, электронных и оптических изделий",26,2024.0,1023.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2017.0,123.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018.0,115.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019.0,113.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021.0,131.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022.0,135.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023.0,130.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024.0,154.0
Производство элементов электронной аппаратуры,26.11,2021.0,117.0
Производство элементов электронной аппаратуры,26.11,2022.0,118.0
Производство элементов электронной аппаратуры,26.11,2023.0,116.0
Производство элементов электронной аппаратуры,26.11,2024.0,128.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2021.0,29.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2022.0,30.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2023.0,33.0
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024.0,32.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2021.0,29.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2022.0,28.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2023.0,27.0
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024.0,34.0
Производство интегральных электронных схем,26.11.3,2021.0,23.0
Производство интегральных электронных схем,26.11.3,2022.0,22.0
Производство интегральных электронных схем,26.11.3,2023.0,21.0
Производство интегральных электронных схем,26.11.3,2024.0,22.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2021.0,26.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2022.0,26.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2023.0,25.0
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024.0,25.0
Производство электронных печатных плат,26.12,2021.0,14.0
Производство электронных печатных плат,26.12,2022.0,17.0
Производство электронных печатных плат,26.12,2023.0,14.0
Производство электронных печатных плат,26.12,2024.0,26.0
Производство компьютеров и периферийного оборудования,26.2,2017.0,35.0
Производство компьютеров и периферийного оборудования,26.2,2018.0,38.0
Производство компьютеров и периферийного оборудования,26.2,2019.0,49.0
Производство компьютеров и периферийного оборудования,26.20,2021.0,62.0
Производство компьютеров и периферийного оборудования,26.20,2022.0,96.0
Производство компьютеров и периферийного оборудования,26.20,2023.0,97.0
Производство компьютеров и периферийного оборудования,26.20,2024.0,122.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2021.0,13.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2022.0,23.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2023.0,20.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024.0,24.0
Производство компьютеров,26.20.1,2021.0,22.0
Производство компьютеров,26.20.1,2022.0,33.0
Производство компьютеров,26.20.1,2023.0,34.0
Производство компьютеров,26.20.1,2024.0,41.0
Производство периферийного оборудования,26.20.2,2021.0,7.0
Производство периферийного оборудования,26.20.2,2022.0,7.0
Производство периферийного оборудования,26.20.2,2023.0,8.0
Производство периферийного оборудования,26.20.2,2024.0,18.0
Производство запоминающих устройств и прочих устройств хранения данных,26.20.3,2021.0,2.0
Производство запоминающих устройств и прочих устройств хранения данных,26.20.3,2022.0,12.0
Производство запоминающих устройств и прочих устройств хранения данных,26.20.3,2023.0,11.0
Производство запоминающих устройств и прочих устройств хранения данных,26.20.3,2024.0,13.0
Производство коммуникационного оборудования,26.3,2017.0,104.0
Производство коммуникационного оборудования,26.3,2018.0,98.0
Производство коммуникационного оборудования,26.3,2019.0,112.0
Производство коммуникационного оборудования,26.30,2021.0,158.0
Производство коммуникационного оборудования,26.30,2022.0,161.0
Производство коммуникационного оборудования,26.30,2023.0,148.0
Производство коммуникационного оборудования,26.30,2024.0,171.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2021.0,19.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2022.0,21.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2023.0,19.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024.0,17.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2021.0,128.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2022.0,135.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2023.0,121.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024.0,132.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2021.0,43.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2022.0,44.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2023.0,47.0
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024.0,58.0
"Производство оборудования, используемого для учета объема оказанных услуг связи",26.30.14,2024.0,1.0
"Производство оборудования средств связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий",26.30.16,2021.0,2.0
"Производство оборудования средств связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий",26.30.16,2022.0,1.0
"Производство оборудования средств связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий",26.30.16,2023.0,1.0
"Производство оборудования средств связи, в том числе программное обеспечение, обеспечивающее выполнение установленных действий при проведении оперативно-розыскных мероприятий",26.30.16,2024.0,2.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2021.0,57.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2022.0,65.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2023.0,47.0
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024.0,44.0
Производство телевизионных камер,26.30.18,2024.0,1.0
Производство прочего коммуникационного оборудования,26.30.19,2021.0,7.0
Производство прочего коммуникационного оборудования,26.30.19,2022.0,4.0
Производство прочего коммуникационного оборудования,26.30.19,2023.0,7.0
Производство прочего коммуникационного оборудования,26.30.19,2024.0,9.0
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2023.0,2.0
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2024.0,2.0
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2023.0,2.0
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2024.0,2.0
Производство запасных частей и комплектующих коммуникационного оборудования,26.30.3,2021.0,1.0
Производство запасных частей и комплектующих коммуникационного оборудования,26.30.3,2022.0,1.0
Производство запасных частей и комплектующих коммуникационного оборудования,26.30.3,2023.0,2.0
Производство запасных частей и комплектующих коммуникационного оборудования,26.30.3,2024.0,2.0
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2021.0,6.0
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2022.0,7.0
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2023.0,5.0
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2024.0,7.0
Производство запасных частей и комплектующих радио- и телевизионной передающей аппаратуры и телевизионных камер,26.30.5,2021.0,4.0
Производство запасных частей и комплектующих радио- и телевизионной передающей аппаратуры и телевизионных камер,26.30.5,2022.0,1.0
Производство запасных частей и комплектующих радио- и телевизионной передающей аппаратуры и телевизионных камер,26.30.5,2023.0,2.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2021.0,13.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2022.0,10.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2023.0,10.0
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024.0,17.0
Производство бытовой электроники,26.4,2017.0,20.0
Производство бытовой электроники,26.4,2018.0,26.0
Производство бытовой электроники,26.4,2019.0,26.0
Производство бытовой электроники,26.40,2021.0,31.0
Производство бытовой электроники,26.40,2022.0,29.0
Производство бытовой электроники,26.40,2023.0,24.0
Производство бытовой электроники,26.40,2024.0,26.0
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2021.0,14.0
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2022.0,11.0
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2023.0,8.0
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2024.0,8.0
Производство телевизоров жидкокристаллических и плазменных,26.40.22,2021.0,12.0
Производство телевизоров жидкокристаллических и плазменных,26.40.22,2022.0,10.0
Производство телевизоров жидкокристаллических и плазменных,26.40.22,2023.0,7.0
Производство телевизоров жидкокристаллических и плазменных,26.40.22,2024.0,7.0
Производство видеомониторов и видеопроекторов,26.40.23,2023.0,1.0
Производство видеомониторов и видеопроекторов,26.40.23,2024.0,1.0
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2021.0,4.0
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2022.0,5.0
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2023.0,6.0
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2024.0,5.0
Производство электроакустической аппаратуры,26.40.4,2021.0,5.0
Производство электроакустической аппаратуры,26.40.4,2022.0,7.0
Производство электроакустической аппаратуры,26.40.4,2023.0,5.0
Производство электроакустической аппаратуры,26.40.4,2024.0,5.0
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2021.0,3.0
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2022.0,3.0
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2023.0,4.0
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2024.0,5.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021.0,420.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022.0,416.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023.0,450.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024.0,483.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2021.0,417.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2022.0,414.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2023.0,449.0
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024.0,481.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2021.0,190.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2022.0,187.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2023.0,205.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024.0,221.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2021.0,49.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2022.0,50.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2023.0,51.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024.0,60.0
"Производство точных весов; производство ручных инструментов для черчения, разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров, не включенных в другие группировки",26.51.3,2021.0,1.0
"Производство точных весов; производство ручных инструментов для черчения, разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров, не включенных в другие группировки",26.51.3,2022.0,2.0
"Производство точных весов; производство ручных инструментов для черчения, разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров, не включенных в другие группировки",26.51.3,2023.0,
"Производство точных весов; производство ручных инструментов для черчения, разметки и математических расчетов; производство ручных инструментов для измерения линейных размеров, не включенных в другие группировки",26.51.3,2024.0,2.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2021.0,24.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2022.0,24.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2023.0,27.0
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024.0,29.0
Производство приборов для контроля прочих физических величин,26.51.5,2021.0,53.0
Производство приборов для контроля прочих физических величин,26.51.5,2022.0,48.0
Производство приборов для контроля прочих физических величин,26.51.5,2023.0,65.0
Производство приборов для контроля прочих физических величин,26.51.5,2024.0,55.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2021.0,76.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2022.0,87.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2023.0,88.0
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024.0,98.0
Производство часов,26.52,2021.0,3.0
Производство часов,26.52,2022.0,2.0
Производство часов,26.52,2023.0,1.0
Производство часов,26.52,2024.0,2.0
Производство часов всех видов и прочих приборов времени,26.52.1,2021.0,2.0
Производство часов всех видов и прочих приборов времени,26.52.1,2022.0,1.0
Производство часов всех видов и прочих приборов времени,26.52.1,2023.0,1.0
Производство часов всех видов и прочих приборов времени,26.52.1,2024.0,2.0
"Производство часовых механизмов, деталей и составных частей часов и приборов времени",26.52.2,2021.0,1.0
"Производство часовых механизмов, деталей и составных частей часов и приборов времени",26.52.2,2022.0,1.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2021.0,42.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2022.0,40.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2023.0,45.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024.0,41.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2021.0,32.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2022.0,29.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2023.0,33.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024.0,31.0
"Производство инструмента, оборудования и приспособлений, применяемых в медицинских целях",26.60.4,2021.0,5.0
"Производство инструмента, оборудования и приспособлений, применяемых в медицинских целях",26.60.4,2022.0,3.0
"Производство инструмента, оборудования и приспособлений, применяемых в медицинских целях",26.60.4,2023.0,3.0
"Производство инструмента, оборудования и приспособлений, применяемых в медицинских целях",26.60.4,2024.0,3.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2021.0,4.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2022.0,4.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2023.0,5.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024.0,5.0
"Производство ультразвукового оборудования, применяемого в медицинских целях",26.60.7,2023.0,1.0
"Производство прочего оборудования, применяемого в медицинских целях",26.60.9,2021.0,1.0
"Производство прочего оборудования, применяемого в медицинских целях",26.60.9,2022.0,2.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2021.0,22.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2022.0,21.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2023.0,19.0
"Производство оптических приборов, фото- и кинооборудования",26.70,2024.0,21.0
Производство фото- и кинооборудования,26.70.1,2021.0,13.0
Производство фото- и кинооборудования,26.70.1,2022.0,13.0
Производство фото- и кинооборудования,26.70.1,2023.0,8.0
Производство фото- и кинооборудования,26.70.1,2024.0,9.0
Производство оптических систем обнаружения оружия,26.70.3,2021.0,1.0
Производство оптических систем обнаружения оружия,26.70.3,2022.0,1.0
Производство оптических систем обнаружения оружия,26.70.3,2023.0,2.0
Производство оптических систем обнаружения оружия,26.70.3,2024.0,2.0
"Производство линз, оптических микроскопов, биноклей и телескопов",26.70.5,2021.0,1.0
"Производство линз, оптических микроскопов, биноклей и телескопов",26.70.5,2022.0,1.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2021.0,5.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2022.0,5.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2023.0,7.0
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024.0,8.0
Производство незаписанных магнитных и оптических технических носителей информации,26.8,2017.0,3.0
Производство незаписанных магнитных и оптических технических носителей информации,26.8,2018.0,2.0
Производство незаписанных магнитных и оптических технических носителей информации,26.8,2019.0,4.0
Производство незаписанных магнитных и оптических технических носителей информации,26.80,2021.0,5.0
Производство незаписанных магнитных и оптических технических носителей информации,26.80,2022.0,5.0
Производство незаписанных магнитных и оптических технических носителей информации,26.80,2023.0,5.0
Производство незаписанных магнитных и оптических технических носителей информации,26.80,2024.0,5.0
Производство электрического оборудования,27,2017.0,541.0
Производство электрического оборудования,27,2018.0,605.0
Производство электрического оборудования,27,2019.0,583.0
Производство электрического оборудования,27,2021.0,640.0
Производство электрического оборудования,27,2022.0,666.0
Производство электрического оборудования,27,2023.0,735.0
Производство электрического оборудования,27,2024.0,775.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021.0,288.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022.0,308.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023.0,355.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024.0,373.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2021.0,97.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2022.0,107.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2023.0,111.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024.0,115.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2021.0,93.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2022.0,99.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2023.0,109.0
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024.0,109.0
Производство электродвигателей,27.11.11,2021.0,39.0
Производство электродвигателей,27.11.11,2022.0,41.0
Производство электродвигателей,27.11.11,2023.0,53.0
Производство электродвигателей,27.11.11,2024.0,50.0
Производство генераторов,27.11.12,2021.0,15.0
Производство генераторов,27.11.12,2022.0,16.0
Производство генераторов,27.11.12,2023.0,14.0
Производство генераторов,27.11.12,2024.0,14.0
Производство трансформаторов,27.11.13,2021.0,34.0
Производство трансформаторов,27.11.13,2022.0,35.0
Производство трансформаторов,27.11.13,2023.0,36.0
Производство трансформаторов,27.11.13,2024.0,34.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2021.0,191.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2022.0,201.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2023.0,244.0
Производство электрической распределительной и регулирующей аппаратуры,27.12,2024.0,258.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2021.0,32.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2022.0,29.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2023.0,34.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2024.0,36.0
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2021.0,5.0
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2022.0,6.0
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2023.0,6.0
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2024.0,8.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2021.0,20.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2022.0,18.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2023.0,23.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2024.0,23.0
