sector,okved2,year,AIcosts_s
Предоставление услуг в области лесоводства и лесозаготовок,02.40,2024,1.4555
Предоставление услуг в области лесоводства,02.40.1,2024,1.253
Предоставление услуг в области лесозаготовок,02.40.2,2024,
Рыболовство и рыбоводство,03,2024,
Рыболовство,03.1,2024,
Рыболовство морское,03.11,2024,
Рыболовство морское промышленное,03.11.1,2024,
Рыболовство морское прибрежное,03.11.2,2024,
Рыболовство пресноводное,03.12,2024,
Рыболовство пресноводное промышленное,03.12.1,2024,
Рыболовство любительское и спортивное,03.12.3,2024,
"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации",03.12.4,2024,
Рыбоводство,03.2,2024,
Рыбоводство морское,03.21,2024,
Рыбоводство морское индустриальное,03.21.1,2024,
Рыбоводство пресноводное,03.22,2024,
Рыбоводство пресноводное индустриальное,03.22.1,2024,
Рыбоводство прудовое,03.22.3,2024,
Воспроизводство пресноводных биоресурсов искусственное,03.22.5,2024,
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2024,1289.3559
Добыча угля,05,2024,4.8889
Добыча и обогащение угля и антрацита,05.10,2024,4.7889
Добыча угля и антрацита,05.10.1,2024,
Добыча антрацита открытым способом,05.10.11,2024,
Добыча коксующегося угля открытым способом,05.10.12,2024,
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом",05.10.13,2024,
Добыча антрацита подземным способом,05.10.14,2024,
Добыча коксующегося угля подземным способом,05.10.15,2024,
"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом",05.10.16,2024,
Обогащение угля,05.10.2,2024,
Обогащение антрацита,05.10.21,2024,
Обогащение коксующегося угля,05.10.22,2024,
"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого",05.10.23,2024,
Добыча и обогащение бурого угля (лигнита),05.20,2024,
Добыча бурого угля (лигнита),05.20.1,2024,
Добыча бурого угля (лигнита) открытым способом,05.20.11,2024,
Добыча бурого угля (лигнита) подземным способом,05.20.12,2024,
Добыча нефти и природного газа,06,2024,842.5316
Добыча нефти и нефтяного (попутного) газа,06.10,2024,842.5316
"Добыча нефти, горючих (битуминозных) сланцев, песка и озокерита",06.10.01.АГ,2024,842.5316
Добыча нефти,06.10.1,2024,842.5316
Добыча нефтяного (попутного) газа,06.10.3,2024,
Добыча природного газа и газового конденсата,06.20,2024,
Добыча природного газа,06.20.1,2024,
Добыча газового конденсата,06.20.2,2024,
Добыча металлических руд,07,2024,366.1014
Добыча и обогащение железных руд,07.10,2024,
Добыча железных руд подземным способом,07.10.1,2024,
Добыча железных руд открытым способом,07.10.2,2024,
Обогащение и агломерация железных руд,07.10.3,2024,
Добыча руд цветных металлов,07.2,2024,285.8491
Добыча урановой и ториевой руд,07.21,2024,
Добыча и первичное обогащение урановых руд,07.21.1,2024,
"Добыча урановых руд подземным способом, включая способы подземного и кучного выщелачивания",07.21.11,2024,
Добыча руд прочих цветных металлов,07.29,2024,285.8491
"Добыча и обогащение руд цветных металлов, не включенных в другие группировки",07.29.02.АГ,2024,9.9821
Добыча и обогащение медной руды,07.29.1,2024,
Добыча и обогащение алюминийсодержащего сырья (бокситов и нефелин-апатитовых руд),07.29.3,2024,
Добыча и обогащение свинцово-цинковой руды,07.29.5,2024,
Добыча и обогащение оловянной руды,07.29.6,2024,
Добыча и обогащение руд прочих цветных металлов,07.29.9,2024,
Добыча и обогащение сурьмяно-ртутных руд,07.29.91,2024,
Добыча и обогащение марганцевых руд,07.29.92,2024,
Добыча и обогащение хромовых (хромитовых) руд,07.29.93,2024,
"Добыча и обогащение руд прочих цветных металлов, не включенных в другие группировки",07.29.99,2024,
Добыча прочих полезных ископаемых,08,2024,75.652
"Добыча камня, песка и глины",08.1,2024,
"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",08.11,2024,
Добыча и первичная обработка камня для памятников и строительства,08.11.1,2024,
Добыча и первичная обработка известняка и гипсового камня,08.11.2,2024,
Добыча мела и некальцинированного доломита,08.11.3,2024,
Добыча и первичная обработка сланцев,08.11.4,2024,
"Разработка гравийных и песчаных карьеров, добыча глины и каолина",08.12,2024,
Разработка гравийных и песчаных карьеров,08.12.1,2024,
Добыча глины и каолина,08.12.2,2024,
Добыча минерального сырья для химической промышленности и производства минеральных удобрений,08.91,2024,
Добыча и агломерация торфа,08.92,2024,
Добыча торфа,08.92.1,2024,
Добыча соли,08.93,2024,
"Добыча прочих полезных ископаемых, не включенных в другие группировки",08.99,2024,
"Добыча полезных ископаемых, не включенных в другие группировки",08.99.03.АГ,2024,
"Добыча природного асфальта, асфальтитов и битумных пород",08.99.1,2024,
"Добыча абразивных материалов, асбеста, кремнеземистой каменной муки, природных графитов, мыльного камня (талька), полевого шпата и т. д.",08.99.2,2024,
"Добыча природных абразивов, кроме алмазов",08.99.21,2024,
