sector,okved2,year,trainingcosts_s
Производство прочей молочной продукции,10.51.9,2023,5.591399999999999
Производство прочей молочной продукции,10.51.9,2024,5.618399999999999
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2021,0.4936
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2022,0.1848
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2023,0.3281
"Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",10.6,2024,0.895
Производство продуктов мукомольной и крупяной промышленности,10.61,2021,0.4496
Производство продуктов мукомольной и крупяной промышленности,10.61,2022,0.1848
Производство продуктов мукомольной и крупяной промышленности,10.61,2023,0.3281
Производство продуктов мукомольной и крупяной промышленности,10.61,2024,0.895
Производство муки из зерновых культур,10.61.2,2021,0.3826
Производство муки из зерновых культур,10.61.2,2022,0.1418
Производство муки из зерновых культур,10.61.2,2023,0.1751
Производство крупы и гранул из зерновых культур,10.61.3,2024,0.73
Производство хлебобулочных и мучных кондитерских изделий,10.7,2021,7.561
Производство хлебобулочных и мучных кондитерских изделий,10.7,2022,0.7635
Производство хлебобулочных и мучных кондитерских изделий,10.7,2023,11.3778
Производство хлебобулочных и мучных кондитерских изделий,10.7,2024,3.0592
"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71,2021,0.572
"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71,2022,0.3975
"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71,2023,10.5045
"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения",10.71,2024,0.376
Производство хлеба и хлебобулочных изделий недлительного хранения,10.71.1,2021,0.572
Производство хлеба и хлебобулочных изделий недлительного хранения,10.71.1,2022,0.3925
Производство хлеба и хлебобулочных изделий недлительного хранения,10.71.1,2023,10.4355
Производство хлеба и хлебобулочных изделий недлительного хранения,10.71.1,2024,0.376
"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",10.72,2021,6.862
"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",10.72,2022,0.303
"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",10.72,2023,0.4453
"Производство сухарей, печенья и прочих сухарных хлебобулочных изделий, производство мучных кондитерских изделий, тортов, пирожных, пирогов и бисквитов, предназначенных для длительного хранения",10.72,2024,2.3682
Производство прочих мучных кондитерских изделий длительного хранения,10.72.3,2022,0.303
Производство прочих мучных кондитерских изделий длительного хранения,10.72.3,2023,0.1739
Производство прочих мучных кондитерских изделий длительного хранения,10.72.3,2024,2.2312
Производство макаронных изделий кускуса и аналогичных мучных изделий,10.73,2024,0.315
Производство макаронных изделий,10.73.1,2024,0.315
Производство прочих пищевых продуктов,10.8,2021,1.7277
Производство прочих пищевых продуктов,10.8,2022,16.456
Производство прочих пищевых продуктов,10.8,2023,3.6968
Производство прочих пищевых продуктов,10.8,2024,4.9838000000000005
Производство сахара,10.81,2021,0.809
Производство сахара,10.81,2023,0.242
