region,okato,year,factoriescap_r
Республика Мордовия,89,2023,390074.0
Республика Мордовия,89,2024,478434.0
Республика Мордовия,89,2025,507894.0
Республика Северная Осетия-Алания,90,2017,36489.0
Республика Северная Осетия-Алания,90,2018,28669.0
Республика Северная Осетия-Алания,90,2019,28873.0
Республика Северная Осетия-Алания,90,2020,40898.0
Республика Северная Осетия-Алания,90,2021,43573.0
Республика Северная Осетия-Алания,90,2022,52516.0
Республика Северная Осетия-Алания,90,2023,65335.0
Республика Северная Осетия-Алания,90,2024,70722.0
Республика Северная Осетия-Алания,90,2025,81962.0
Карачаево-Черкесская Республика,91,2017,47997.0
Карачаево-Черкесская Республика,91,2018,44613.0
Карачаево-Черкесская Республика,91,2019,39854.0
Карачаево-Черкесская Республика,91,2020,41935.0
Карачаево-Черкесская Республика,91,2021,47061.0
Карачаево-Черкесская Республика,91,2022,50285.0
Карачаево-Черкесская Республика,91,2023,69667.0
Карачаево-Черкесская Республика,91,2024,74284.0
Карачаево-Черкесская Республика,91,2025,82730.0
Республика Татарстан (Татарстан),92,2017,2298921.0
Республика Татарстан (Татарстан),92,2018,2804598.0
Республика Татарстан (Татарстан),92,2019,2810718.0
Республика Татарстан (Татарстан),92,2020,2780617.0
Республика Татарстан (Татарстан),92,2021,4109533.0
Республика Татарстан (Татарстан),92,2022,4531702.0
Республика Татарстан (Татарстан),92,2023,4907377.0
Республика Татарстан (Татарстан),92,2024,5810573.0
Республика Татарстан (Татарстан),92,2025,6337898.0
Республика Тыва,93,2017,28712.0
Республика Тыва,93,2018,33766.0
Республика Тыва,93,2019,27246.0
Республика Тыва,93,2020,23491.0
Республика Тыва,93,2021,28092.0
Республика Тыва,93,2022,36380.0
Республика Тыва,93,2023,35010.0
Республика Тыва,93,2024,43737.0
Республика Тыва,93,2025,45138.0
Удмуртская Республика,94,2017,556808.0
Удмуртская Республика,94,2018,680455.0
Удмуртская Республика,94,2019,710949.0
Удмуртская Республика,94,2020,594615.0
Удмуртская Республика,94,2021,780895.0
Удмуртская Республика,94,2022,887371.0
Удмуртская Республика,94,2023,1010558.0
Удмуртская Республика,94,2024,1377594.0
Удмуртская Республика,94,2025,1447726.0
Республика Хакасия,95,2017,188824.0
Республика Хакасия,95,2018,220457.0
Республика Хакасия,95,2019,224102.0
Республика Хакасия,95,2020,242520.0
Республика Хакасия,95,2021,307163.0
Республика Хакасия,95,2022,374081.0
Республика Хакасия,95,2023,377242.0
Республика Хакасия,95,2024,396591.0
Республика Хакасия,95,2025,434353.0
Чеченская Республика,96,2017,31566.0
Чеченская Республика,96,2018,32879.0
Чеченская Республика,96,2019,39243.0
Чеченская Республика,96,2020,45823.0
Чеченская Республика,96,2021,47265.0
Чеченская Республика,96,2022,51225.0
Чеченская Республика,96,2023,69138.0
Чеченская Республика,96,2024,84433.0
Чеченская Республика,96,2025,95231.0
Чувашская Республика - Чувашия,97,2017,204097.0
Чувашская Республика - Чувашия,97,2018,232044.0
Чувашская Республика - Чувашия,97,2019,261444.0
Чувашская Республика - Чувашия,97,2020,259520.0
Чувашская Республика - Чувашия,97,2021,281309.0
Чувашская Республика - Чувашия,97,2022,327257.0
Чувашская Республика - Чувашия,97,2023,442868.0
Чувашская Республика - Чувашия,97,2024,577836.0
Чувашская Республика - Чувашия,97,2025,733560.0
Республика Саха (Якутия),98,2017,700779.0
Республика Саха (Якутия),98,2018,913158.0
Республика Саха (Якутия),98,2019,1004438.0
Республика Саха (Якутия),98,2020,951896.0
Республика Саха (Якутия),98,2021,1452365.0
Республика Саха (Якутия),98,2022,1753436.0
Республика Саха (Якутия),98,2023,1983651.0
Республика Саха (Якутия),98,2024,2233786.0
Республика Саха (Якутия),98,2025,2144721.0
Еврейская автономная область,99,2017,18992.0
Еврейская автономная область,99,2018,21935.0
Еврейская автономная область,99,2019,25795.0
Еврейская автономная область,99,2020,29053.0
Еврейская автономная область,99,2021,42447.0
Еврейская автономная область,99,2022,37244.0
Еврейская автономная область,99,2023,39660.0
Еврейская автономная область,99,2024,39778.0
Еврейская автономная область,99,2025,41729.0
