region,okato,year,trainingcosts_r
Карачаево-Черкесская Республика,91,2023,1.1563001
Карачаево-Черкесская Республика,91,2024,1.1626999
Республика Татарстан (Татарстан),92,2016,29.9217
Республика Татарстан (Татарстан),92,2017,37.1341
Республика Татарстан (Татарстан),92,2018,49.029198
Республика Татарстан (Татарстан),92,2019,57.2741
Республика Татарстан (Татарстан),92,2020,2079.3667
Республика Татарстан (Татарстан),92,2021,68.479
Республика Татарстан (Татарстан),92,2022,64.8129
Республика Татарстан (Татарстан),92,2023,81.315605
Республика Татарстан (Татарстан),92,2024,77.770706
Республика Тыва,93,2016,7.9556003
Республика Тыва,93,2017,5.9398
Республика Тыва,93,2018,2.0786002
Республика Тыва,93,2019,0.9156
Республика Тыва,93,2020,2.03938
Республика Тыва,93,2021,0.81109995
Республика Тыва,93,2022,1.1045
Республика Тыва,93,2023,0.6768
Республика Тыва,93,2024,1.8497
Удмуртская Республика,94,2016,13.814
Удмуртская Республика,94,2017,10.9375
Удмуртская Республика,94,2018,12.5944
Удмуртская Республика,94,2019,14.192
Удмуртская Республика,94,2020,24.680302
Удмуртская Республика,94,2021,11.4615
Удмуртская Республика,94,2022,6.1816
Удмуртская Республика,94,2023,13.4299
Удмуртская Республика,94,2024,33.0983
Республика Хакасия,95,2016,2.2208002
Республика Хакасия,95,2017,1.319
Республика Хакасия,95,2018,4.7627
Республика Хакасия,95,2019,3.4767
Республика Хакасия,95,2020,13.2215
Республика Хакасия,95,2021,0.78279996
Республика Хакасия,95,2022,1.0702
Республика Хакасия,95,2023,3.2868001
Республика Хакасия,95,2024,3.0909
Чеченская Республика,96,2016,1.9213
Чеченская Республика,96,2017,4.6424
Чеченская Республика,96,2018,3.532
Чеченская Республика,96,2019,0.9172
Чеченская Республика,96,2020,1.2219
Чеченская Республика,96,2021,2.5738
Чеченская Республика,96,2022,5.0347004
Чеченская Республика,96,2023,1.2085999
Чеченская Республика,96,2024,0.82259995
Чувашская Республика - Чувашия,97,2016,9.3197
Чувашская Республика - Чувашия,97,2017,12.511
Чувашская Республика - Чувашия,97,2018,7.3785
Чувашская Республика - Чувашия,97,2019,4.8187003
Чувашская Республика - Чувашия,97,2020,7.19704
Чувашская Республика - Чувашия,97,2021,10.1068
Чувашская Республика - Чувашия,97,2022,9.909901
Чувашская Республика - Чувашия,97,2023,10.4567995
Чувашская Республика - Чувашия,97,2024,7.1795
Республика Саха (Якутия),98,2016,108.206
Республика Саха (Якутия),98,2017,90.61179
Республика Саха (Якутия),98,2018,8.0629
Республика Саха (Якутия),98,2019,30.990301
Республика Саха (Якутия),98,2020,15.45459
Республика Саха (Якутия),98,2021,8429.006
Республика Саха (Якутия),98,2022,25.1629
Республика Саха (Якутия),98,2023,16.2843
Республика Саха (Якутия),98,2024,60.1624
Еврейская автономная область,99,2016,0.7213
Еврейская автономная область,99,2017,0.5428
Еврейская автономная область,99,2018,0.233
Еврейская автономная область,99,2019,0.6616
Еврейская автономная область,99,2020,0.54459995
Еврейская автономная область,99,2021,0.315
Еврейская автономная область,99,2022,1.6899
Еврейская автономная область,99,2023,0.9167
Еврейская автономная область,99,2024,0.9963
