sector,okved2,year,AIusage_s
Производство машин и оборудования для сельского и лесного хозяйства,28.30,2025.0,4.0
Производство тракторов для сельского хозяйства,28.30.2,2022.0,1.0
Производство колесных тракторов для сельского хозяйства,28.30.21,2022.0,1.0
Производство машин и сельскохозяйственного оборудования для обработки почвы,28.30.3,2021.0,2.0
Производство машин и сельскохозяйственного оборудования для обработки почвы,28.30.3,2022.0,3.0
Производство машин и сельскохозяйственного оборудования для обработки почвы,28.30.3,2023.0,1.0
Производство машин и сельскохозяйственного оборудования для обработки почвы,28.30.3,2024.0,3.0
Производство машин и сельскохозяйственного оборудования для обработки почвы,28.30.3,2025.0,2.0
Производство машин для уборки урожая,28.30.5,2024.0,1.0
Производство машин для уборки урожая,28.30.5,2025.0,2.0
Производство зерноуборочных комбайнов,28.30.51,2025.0,1.0
Производство прочих машин для уборки урожая,28.30.59,2024.0,1.0
Производство прочих машин для уборки урожая,28.30.59,2025.0,1.0
Производство прочих машин и оборудования для сельского и лесного хозяйства,28.30.8,2021.0,1.0
Производство прочих машин и оборудования для сельского и лесного хозяйства,28.30.8,2022.0,3.0
Производство прочих машин и оборудования для сельского и лесного хозяйства,28.30.8,2023.0,1.0
Производство машин и оборудования для содержания птицы,28.30.85,2022.0,1.0
Производство машин и оборудования для содержания птицы,28.30.85,2023.0,1.0
"Производство прочих машин и оборудования для сельского хозяйства, садоводства, птицеводства или пчеловодства, не включенных в другие группировки",28.30.89,2021.0,1.0
"Производство прочих машин и оборудования для сельского хозяйства, садоводства, птицеводства или пчеловодства, не включенных в другие группировки",28.30.89,2022.0,2.0
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2022.0,2.0
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2023.0,1.0
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2025.0,2.0
Производство металлообрабатывающего оборудования,28.41,2022.0,1.0
Производство металлообрабатывающего оборудования,28.41,2023.0,1.0
Производство металлообрабатывающего оборудования,28.41,2025.0,2.0
Производство металлообрабатывающих станков,28.41.1,2023.0,1.0
Производство кузнечно-прессового оборудования,28.41.2,2022.0,1.0
Производство кузнечно-прессового оборудования,28.41.2,2025.0,1.0
Производство прочих станков,28.49,2022.0,1.0
Производство делительных головок и прочих специальных приспособлений для станков,28.49.4,2022.0,1.0
Производство прочих машин специального назначения,28.9,2021.0,16.0
Производство прочих машин специального назначения,28.9,2022.0,16.0
Производство прочих машин специального назначения,28.9,2023.0,14.0
Производство прочих машин специального назначения,28.9,2024.0,14.0
Производство прочих машин специального назначения,28.9,2025.0,10.0
Производство машин и оборудования для добычи полезных ископаемых и строительства,28.92,2021.0,10.0
Производство машин и оборудования для добычи полезных ископаемых и строительства,28.92,2022.0,9.0
Производство машин и оборудования для добычи полезных ископаемых и строительства,28.92,2023.0,7.0
Производство машин и оборудования для добычи полезных ископаемых и строительства,28.92,2024.0,10.0
Производство машин и оборудования для добычи полезных ископаемых и строительства,28.92,2025.0,6.0
"Производство машин и оборудования для производства пищевых продуктов, напитков и табачных изделий",28.93,2021.0,1.0
"Производство машин и оборудования для производства пищевых продуктов, напитков и табачных изделий",28.93,2022.0,1.0
"Производство машин и оборудования для производства пищевых продуктов, напитков и табачных изделий",28.93,2025.0,1.0
Производство машин и оборудования для изготовления бумаги и картона,28.95,2022.0,1.0
"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",28.99,2021.0,5.0
"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",28.99,2022.0,5.0
"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",28.99,2023.0,7.0
"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",28.99,2024.0,4.0
"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",28.99,2025.0,3.0
"Производство прочего оборудования специального назначения, не включенного в другие группировки",28.99.03.АГ,2021.0,5.0
"Производство прочего оборудования специального назначения, не включенного в другие группировки",28.99.03.АГ,2022.0,3.0
"Производство прочего оборудования специального назначения, не включенного в другие группировки",28.99.03.АГ,2023.0,7.0
"Производство прочего оборудования специального назначения, не включенного в другие группировки",28.99.03.АГ,2024.0,4.0
"Производство прочего оборудования специального назначения, не включенного в другие группировки",28.99.03.АГ,2025.0,3.0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2021.0,24.0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2022.0,35.0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2023.0,20.0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2024.0,23.0
"Производство автотранспортных средств, прицепов и полуприцепов",29,2025.0,20.0
Производство автотранспортных средств,29.10,2021.0,5.0
Производство автотранспортных средств,29.10,2022.0,13.0
Производство автотранспортных средств,29.10,2023.0,8.0
Производство автотранспортных средств,29.10,2024.0,13.0
Производство автотранспортных средств,29.10,2025.0,12.0
Производство двигателей внутреннего сгорания автотранспортных средств,29.10.1,2022.0,1.0
Производство двигателей внутреннего сгорания автотранспортных средств,29.10.1,2023.0,1.0
Производство двигателей внутреннего сгорания автотранспортных средств,29.10.1,2024.0,1.0
Производство двигателей внутреннего сгорания автотранспортных средств,29.10.1,2025.0,1.0
Производство двигателей внутреннего сгорания с воспламенением от сжатия,29.10.13,2022.0,1.0
Производство двигателей внутреннего сгорания с воспламенением от сжатия,29.10.13,2023.0,1.0
Производство двигателей внутреннего сгорания с воспламенением от сжатия,29.10.13,2024.0,1.0
Производство двигателей внутреннего сгорания с воспламенением от сжатия,29.10.13,2025.0,1.0
Производство легковых автомобилей,29.10.2,2021.0,1.0
Производство легковых автомобилей,29.10.2,2023.0,1.0
Производство легковых автомобилей,29.10.2,2024.0,2.0
Производство легковых автомобилей,29.10.2,2025.0,3.0
Производство автобусов и троллейбусов,29.10.3,2022.0,2.0
Производство автобусов и троллейбусов,29.10.3,2024.0,6.0
Производство автобусов и троллейбусов,29.10.3,2025.0,6.0
Производство автобусов,29.10.31,2022.0,1.0
Производство автобусов,29.10.31,2024.0,6.0
Производство автобусов,29.10.31,2025.0,1.0
Производство троллейбусов,29.10.32,2022.0,1.0
Производство троллейбусов,29.10.32,2025.0,4.0
Производство грузовых автомобилей,29.10.4,2021.0,1.0
Производство грузовых автомобилей,29.10.4,2022.0,1.0
Производство грузовых автомобилей,29.10.4,2023.0,1.0
Производство грузовых автомобилей,29.10.4,2024.0,2.0
Производство грузовых автомобилей,29.10.4,2025.0,1.0
Производство автомобилей специального назначения,29.10.5,2021.0,2.0
Производство автомобилей специального назначения,29.10.5,2022.0,7.0
Производство автомобилей специального назначения,29.10.5,2023.0,4.0
Производство автомобилей специального назначения,29.10.5,2024.0,2.0
Производство автомобилей специального назначения,29.10.5,2025.0,1.0
Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов,29.20,2021.0,5.0
Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов,29.20,2022.0,4.0
Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов,29.20,2023.0,1.0
Производство кузовов для автотранспортных средств; производство прицепов и полуприцепов,29.20,2025.0,1.0
Производство кузовов для легковых автомобилей,29.20.1,2021.0,1.0
Производство кузовов для грузовых автомобилей,29.20.2,2021.0,2.0
Производство кузовов для грузовых автомобилей,29.20.2,2022.0,1.0
Производство кузовов для грузовых автомобилей,29.20.2,2023.0,1.0
Производство прицепов и полуприцепов,29.20.4,2022.0,1.0
Производство прицепов и полуприцепов,29.20.4,2025.0,1.0
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2021.0,14.0
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2022.0,18.0
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2023.0,11.0
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2024.0,10.0
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2025.0,7.0
Производство электрического и электронного оборудования для автотранспортных средств,29.31,2021.0,1.0
Производство электрического и электронного оборудования для автотранспортных средств,29.31,2022.0,2.0
Производство электрического и электронного оборудования для автотранспортных средств,29.31,2023.0,1.0
Производство электрического и электронного оборудования для автотранспортных средств,29.31,2024.0,2.0
Производство электрического и электронного оборудования для автотранспортных средств,29.31,2025.0,2.0
Производство прочих комплектующих и принадлежностей для автотранспортных средств,29.32,2021.0,13.0
Производство прочих комплектующих и принадлежностей для автотранспортных средств,29.32,2022.0,16.0
Производство прочих комплектующих и принадлежностей для автотранспортных средств,29.32,2023.0,10.0
Производство прочих комплектующих и принадлежностей для автотранспортных средств,29.32,2024.0,8.0
Производство прочих комплектующих и принадлежностей для автотранспортных средств,29.32,2025.0,5.0
Производство сидений для автотранспортных средств,29.32.1,2021.0,2.0
Производство сидений для автотранспортных средств,29.32.1,2022.0,1.0
"Производство ремней безопасности, подушек безопасности, их частей и принадлежностей кузовов",29.32.2,2023.0,1.0
"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",29.32.3,2021.0,11.0
"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",29.32.3,2022.0,14.0
"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",29.32.3,2023.0,9.0
"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",29.32.3,2024.0,8.0
"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",29.32.3,2025.0,5.0
Производство прочих транспортных средств и оборудования,30,2021.0,18.0
Производство прочих транспортных средств и оборудования,30,2022.0,19.0
Производство прочих транспортных средств и оборудования,30,2023.0,20.0
Производство прочих транспортных средств и оборудования,30,2024.0,14.0
Производство прочих транспортных средств и оборудования,30,2025.0,19.0
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2021.0,3.0
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2022.0,5.0
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2023.0,6.0
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2024.0,3.0
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2025.0,5.0
Производство железнодорожных локомотивов и подвижного состава,30.20,2021.0,11.0
Производство железнодорожных локомотивов и подвижного состава,30.20,2022.0,8.0
Производство железнодорожных локомотивов и подвижного состава,30.20,2023.0,6.0
Производство железнодорожных локомотивов и подвижного состава,30.20,2024.0,2.0
Производство железнодорожных локомотивов и подвижного состава,30.20,2025.0,4.0
Производство железнодорожных локомотивов,30.20.1,2025.0,1.0
Производство магистральных тепловозов,30.20.12,2025.0,1.0
"Производство моторных железнодорожных, трамвайных вагонов и вагонов метро, автодрезин, кроме транспортных средств для ремонта и технического обслуживания железнодорожных и трамвайных путей",30.20.2,2025.0,1.0
Производство прочего подвижного состава,30.20.3,2021.0,5.0
Производство прочего подвижного состава,30.20.3,2022.0,2.0
Производство прочего подвижного состава,30.20.3,2025.0,1.0
"Производство транспортных средств для ремонта и технического обслуживания железнодорожных, трамвайных и прочих путей",30.20.31,2022.0,1.0
"Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов",30.20.33,2021.0,5.0
"Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов",30.20.33,2022.0,1.0
"Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов",30.20.33,2025.0,1.0
"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением",30.20.4,2022.0,1.0
"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением",30.20.4,2023.0,1.0
"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",30.20.9,2021.0,5.0
"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",30.20.9,2022.0,5.0
"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",30.20.9,2023.0,5.0
"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",30.20.9,2024.0,2.0
"Предоставление услуг по восстановлению и оснащению (завершению) железнодорожных локомотивов, трамвайных моторных вагонов и прочего подвижного состава",30.20.9,2025.0,1.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2021.0,4.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2022.0,5.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2023.0,7.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2024.0,8.0
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2025.0,9.0
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2021.0,2.0
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2022.0,2.0
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2023.0,3.0
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2024.0,3.0
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2025.0,4.0
Производство двигателей летательных аппаратов с искровым зажиганием и их частей,30.30.11,2021.0,1.0
Производство двигателей летательных аппаратов с искровым зажиганием и их частей,30.30.11,2022.0,1.0
Производство двигателей летательных аппаратов с искровым зажиганием и их частей,30.30.11,2024.0,1.0
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2022.0,1.0
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2023.0,3.0
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2024.0,2.0
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2025.0,4.0
Производство наземных тренажеров для летного состава и их частей,30.30.14,2021.0,1.0
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2021.0,2.0
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2022.0,1.0
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2023.0,2.0
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2024.0,1.0
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2025.0,2.0
Производство самолетов,30.30.32,2021.0,2.0
Производство самолетов,30.30.32,2022.0,1.0
Производство самолетов,30.30.32,2023.0,2.0
Производство самолетов,30.30.32,2024.0,1.0
Производство самолетов,30.30.32,2025.0,2.0
"Производство космических аппаратов (в том числе спутников), ракет-носителей",30.30.4,2024.0,1.0
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2022.0,2.0
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2023.0,2.0
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2024.0,3.0
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2025.0,3.0
"Производство транспортных средств и оборудования, не включенных в другие группировки",30.9,2022.0,1.0
"Производство транспортных средств и оборудования, не включенных в другие группировки",30.9,2023.0,1.0
"Производство транспортных средств и оборудования, не включенных в другие группировки",30.9,2024.0,1.0
"Производство транспортных средств и оборудования, не включенных в другие группировки",30.9,2025.0,1.0
"Производство прочих транспортных средств и оборудования, не включенных в другие группировки",30.99,2022.0,1.0
"Производство прочих транспортных средств и оборудования, не включенных в другие группировки",30.99,2023.0,1.0
"Производство прочих транспортных средств и оборудования, не включенных в другие группировки",30.99,2024.0,1.0
"Производство прочих транспортных средств и оборудования, не включенных в другие группировки",30.99,2025.0,1.0
Производство мебели,31.0,2021.0,8.0
Производство мебели,31.0,2022.0,20.0
Производство мебели,31.0,2023.0,9.0
Производство мебели,31.0,2024.0,7.0
Производство мебели,31.0,2025.0,7.0
Производство мебели для офисов и предприятий торговли,31.01,2021.0,1.0
Производство мебели для офисов и предприятий торговли,31.01,2022.0,6.0
Производство мебели для офисов и предприятий торговли,31.01,2023.0,4.0
Производство мебели для офисов и предприятий торговли,31.01,2024.0,3.0
Производство мебели для офисов и предприятий торговли,31.01,2025.0,3.0
Производство кухонной мебели,31.02,2021.0,2.0
Производство кухонной мебели,31.02,2022.0,3.0
Производство матрасов,31.03,2022.0,3.0
Производство матрасов,31.03,2023.0,1.0
Производство прочей мебели,31.09,2021.0,5.0
Производство прочей мебели,31.09,2022.0,8.0
Производство прочей мебели,31.09,2023.0,4.0
Производство прочей мебели,31.09,2024.0,4.0
Производство прочей мебели,31.09,2025.0,4.0
Производство прочих готовых изделий,32,2021.0,6.0
Производство прочих готовых изделий,32,2022.0,31.0
Производство прочих готовых изделий,32,2023.0,20.0
Производство прочих готовых изделий,32,2024.0,14.0
Производство прочих готовых изделий,32,2025.0,16.0
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2021.0,1.0
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2022.0,9.0
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2023.0,6.0
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2024.0,7.0
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2025.0,6.0
Производство ювелирных изделий и аналогичных изделий,32.12,2021.0,1.0
Производство ювелирных изделий и аналогичных изделий,32.12,2022.0,9.0
Производство ювелирных изделий и аналогичных изделий,32.12,2023.0,6.0
Производство ювелирных изделий и аналогичных изделий,32.12,2024.0,7.0
Производство ювелирных изделий и аналогичных изделий,32.12,2025.0,6.0
Обработка алмазов,32.12.3,2024.0,1.0
Обработка алмазов,32.12.3,2025.0,1.0
"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней",32.12.5,2022.0,7.0
"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней",32.12.5,2024.0,1.0
"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней",32.12.5,2025.0,1.0
Производство спортивных товаров,32.30,2021.0,1.0
Производство спортивных товаров,32.30,2024.0,1.0
Производство спортивных товаров,32.30,2025.0,1.0
Производство игр и игрушек,32.40,2021.0,1.0
Производство игр и игрушек,32.40,2022.0,1.0
Производство медицинских инструментов и оборудования,32.50,2021.0,2.0
Производство медицинских инструментов и оборудования,32.50,2022.0,16.0
Производство медицинских инструментов и оборудования,32.50,2023.0,9.0
Производство медицинских инструментов и оборудования,32.50,2024.0,2.0
Производство медицинских инструментов и оборудования,32.50,2025.0,3.0
"Производство изделий, не включенных в другие группировки",32.9,2021.0,1.0
"Производство изделий, не включенных в другие группировки",32.9,2022.0,5.0
"Производство изделий, не включенных в другие группировки",32.9,2023.0,5.0
"Производство изделий, не включенных в другие группировки",32.9,2024.0,4.0
"Производство изделий, не включенных в другие группировки",32.9,2025.0,6.0
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2021.0,1.0
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2022.0,5.0
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2023.0,5.0
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2024.0,4.0
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2025.0,6.0
Производство головных защитных уборов и прочих средств защиты,32.99.1,2021.0,1.0
Производство головных защитных уборов и прочих средств защиты,32.99.1,2022.0,1.0
Производство головных защитных уборов и прочих средств защиты,32.99.1,2023.0,1.0
Производство головных защитных уборов и прочих средств защиты,32.99.1,2024.0,1.0
Производство головных защитных уборов и прочих средств защиты,32.99.1,2025.0,2.0
Производство изделий народных художественных промыслов,32.99.8,2022.0,2.0
Производство изделий народных художественных промыслов,32.99.8,2023.0,2.0
Производство изделий народных художественных промыслов,32.99.8,2024.0,1.0
Производство изделий народных художественных промыслов,32.99.8,2025.0,1.0
"Производство прочих изделий, не включенных в другие группировки",32.99.9,2022.0,2.0
"Производство прочих изделий, не включенных в другие группировки",32.99.9,2023.0,2.0
"Производство прочих изделий, не включенных в другие группировки",32.99.9,2024.0,2.0
"Производство прочих изделий, не включенных в другие группировки",32.99.9,2025.0,3.0
Ремонт и монтаж машин и оборудования,33,2021.0,56.0
Ремонт и монтаж машин и оборудования,33,2022.0,52.0
Ремонт и монтаж машин и оборудования,33,2023.0,23.0
Ремонт и монтаж машин и оборудования,33,2024.0,33.0
Ремонт и монтаж машин и оборудования,33,2025.0,34.0
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2021.0,55.0
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2022.0,49.0
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2023.0,21.0
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2024.0,32.0
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2025.0,31.0
Ремонт машин и оборудования,33.12,2021.0,22.0
Ремонт машин и оборудования,33.12,2022.0,14.0
Ремонт машин и оборудования,33.12,2023.0,5.0
Ремонт машин и оборудования,33.12,2024.0,16.0
Ремонт машин и оборудования,33.12,2025.0,17.0
Ремонт электронного и оптического оборудования,33.13,2021.0,3.0
Ремонт электронного и оптического оборудования,33.13,2022.0,4.0
Ремонт электронного и оптического оборудования,33.13,2023.0,1.0
Ремонт электронного и оптического оборудования,33.13,2024.0,1.0
Ремонт электронного и оптического оборудования,33.13,2025.0,2.0
Ремонт электрического оборудования,33.14,2021.0,22.0
Ремонт электрического оборудования,33.14,2022.0,18.0
Ремонт электрического оборудования,33.14,2023.0,2.0
Ремонт электрического оборудования,33.14,2024.0,3.0
Ремонт электрического оборудования,33.14,2025.0,5.0
Ремонт и техническое обслуживание судов и лодок,33.15,2021.0,2.0
Ремонт и техническое обслуживание судов и лодок,33.15,2022.0,5.0
Ремонт и техническое обслуживание судов и лодок,33.15,2023.0,4.0
Ремонт и техническое обслуживание судов и лодок,33.15,2024.0,2.0
Ремонт и техническое обслуживание судов и лодок,33.15,2025.0,1.0
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2022.0,4.0
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2023.0,1.0
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2024.0,3.0
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2025.0,1.0
Ремонт и техническое обслуживание прочих транспортных средств и оборудования,33.17,2021.0,5.0
Ремонт и техническое обслуживание прочих транспортных средств и оборудования,33.17,2022.0,4.0
Ремонт и техническое обслуживание прочих транспортных средств и оборудования,33.17,2023.0,7.0
Ремонт и техническое обслуживание прочих транспортных средств и оборудования,33.17,2024.0,6.0
Ремонт и техническое обслуживание прочих транспортных средств и оборудования,33.17,2025.0,4.0
Ремонт прочего оборудования,33.19,2021.0,1.0
Ремонт прочего оборудования,33.19,2023.0,1.0
Ремонт прочего оборудования,33.19,2024.0,1.0
Ремонт прочего оборудования,33.19,2025.0,1.0
Монтаж промышленных машин и оборудования,33.20,2021.0,1.0
Монтаж промышленных машин и оборудования,33.20,2022.0,3.0
Монтаж промышленных машин и оборудования,33.20,2023.0,2.0
Монтаж промышленных машин и оборудования,33.20,2024.0,1.0
Монтаж промышленных машин и оборудования,33.20,2025.0,3.0
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2021.0,216.0
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2022.0,265.0
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2023.0,233.0
