sector,okved2,year,researchersavg_s
Производство текстильных изделий,13,2018,66.0
Производство текстильных изделий,13,2019,55.0
Производство текстильных изделий,13,2020,80.8
Производство текстильных изделий,13,2021,253.5
Производство текстильных изделий,13,2022,262.9
Производство текстильных изделий,13,2023,230.5
Производство текстильных изделий,13,2024,158.6
Производство текстильных тканей,13.2,2024,
Производство текстильных тканей,13.20,2018,
Производство текстильных тканей,13.20,2019,
Производство текстильных тканей,13.20,2020,5.0
Производство текстильных тканей,13.20,2023,
Производство текстильных тканей,13.20,2024,
"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон",13.20.3,2024,
Производство прочих текстильных изделий,13.9,2024,
"Производство готовых текстильных изделий, кроме одежды",13.92,2024,
"Производство нетканых текстильных материалов и изделий из них, кроме одежды",13.95,2024,
Собирательная классификационная группировка видов экономической деятельности в области деятельности творческих (креативных) индустрий на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред. 2),13210000.029.02,2024,5533.1
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2018,1053.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2019,1028.0
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2020,883.9
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2021,904.8
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2022,1697.4
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2023,1855.8
Сектор инжиниринговых услуг и промышленного дизайна,1323500.029.12,2024,1515.6
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2019,79480.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2020,88386.2
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2021,85170.2
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2022,90267.8
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2023,90991.0
"Собирательная классификационная группировка видов экономической деятельности ""Промышленность"" на основе ОКВЭД2 (КДЕС Ред. 2)",1323500.029.31,2024,108435.5
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2018,363.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2019,628.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2020,603.5
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2021,588.0
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2022,483.9
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2023,446.4
Виды экономической деятельности в области промышленности строительных материалов,1323500.029.33,2024,483.6
"Собирательная классификационная группировка видов экономической деятельности в области лазерных, оптических и оптоэлектронных технологий (фотоники) на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД 2) ОК 029-2014 (КДЕС Ред.2)",1323500.029.36,2024,
Сектор информационно,1324500.029.01,2018,14775.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2019,12618.0
Сектор информационно-коммуникационных технологий,1324500.029.01,2020,18085.4
Сектор информационно-коммуникационных технологий,1324500.029.01,2021,16034.6
Сектор информационно-коммуникационных технологий,1324500.029.01,2022,17512.4
Сектор информационно-коммуникационных технологий,1324500.029.01,2023,14393.7
Сектор информационно-коммуникационных технологий,1324500.029.01,2024,20975.3
Сектор контента и средств массовой информации,1324500.029.02,2018,
Сектор контента и средств массовой информации,1324500.029.02,2019,
Сектор контента и средств массовой информации,1324500.029.02,2020,21.0
Сектор контента и средств массовой информации,1324500.029.02,2021,26.0
Сектор контента и средств массовой информации,1324500.029.02,2022,14.0
Сектор контента и средств массовой информации,1324500.029.02,2023,30.0
Сектор контента и средств массовой информации,1324500.029.02,2024,
Отрасль информационных технологий,1324500.029.11,2018,1833.0
Отрасль информационных технологий,1324500.029.11,2019,2346.0
Отрасль информационных технологий,1324500.029.11,2020,3955.1
Отрасль информационных технологий,1324500.029.11,2021,2893.8
Отрасль информационных технологий,1324500.029.11,2022,2715.9
Отрасль информационных технологий,1324500.029.11,2023,2963.6
Отрасль информационных технологий,1324500.029.11,2024,4759.1
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029",1325000.029.01,2018,475236.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2019,450771.0
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2020,442235.6
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2021,433893.4
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2022,425929.9
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2023,425094.5
"Собирательная классификационная группировка видов экономической деятельности ""Агропромышленный комплекс"" на основе Общероссийского классификатора видов экономической деятельности (ОКВЭД2) ОК 029-2014 (КДЕС Ред.2)",1325000.029.01,2024,411413.9
Наукоемкие виды экономической деятельности.,136.АГ,2024,489282.0
Производство одежды,14,2018,
Производство одежды,14,2019,
Производство одежды,14,2021,103.0
Производство одежды,14,2022,42.0
Производство одежды,14,2023,
Производство одежды,14,2024,166.5
"Производство одежды, кроме одежды из меха",14.1,2018,
"Производство одежды, кроме одежды из меха",14.1,2019,
"Производство одежды, кроме одежды из меха",14.1,2021,103.0
"Производство одежды, кроме одежды из меха",14.1,2022,42.0
"Производство одежды, кроме одежды из меха",14.1,2023,
"Производство одежды, кроме одежды из меха",14.1,2024,166.5
Производство спецодежды,14.12,2024,166.5
Производство кожи и изделий из кожи,15,2018,
Производство кожи и изделий из кожи,15,2019,
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",16,2018,
Производство бумаги и бумажных изделий,17,2018,
Производство бумаги и бумажных изделий,17,2019,
Производство бумаги и бумажных изделий,17,2021,2.8
Производство бумаги и бумажных изделий,17,2022,
Производство бумаги и бумажных изделий,17,2024,
"Производство целлюлозы, древесной массы, бумаги и картона",17.1,2024,
Производство бумаги и картона,17.12,2024,
Производство бумаги,17.12.1,2024,
Деятельность полиграфическая и копирование носителей информации,18,2018,
Деятельность полиграфическая и копирование носителей информации,18,2019,
Деятельность полиграфическая и копирование носителей информации,18,2020,11.0
