sector,okved2,year,researchersavg_s
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020,764.2
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,781.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,791.2
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,935.9
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,1035.5
Производство драгоценных металлов,24.41,2024,291.3
Производство алюминия,24.42,2024,
"Производство свинца, цинка и олова",24.43,2024,18.0
Производство цинка,24.43.2,2024,18.0
Производство меди,24.44,2024,
Литье металлов,24.5,2019,
Литье металлов,24.5,2020,6.0
Литье металлов,24.5,2021,6.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,18749.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,26511.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020,25879.4
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,22373.5
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,24528.6
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,26470.4
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,28039.7
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2024,1749.2
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018,17309.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019,24608.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020,22350.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,26290.5
Производство строительных металлических конструкций и изделий,25.1,2020,6.0
Производство строительных металлических конструкций и изделий,25.1,2021,2.0
Производство строительных металлических конструкций и изделий,25.1,2022,
Производство строительных металлических конструкций и изделий,25.1,2023,
Производство строительных металлических конструкций и изделий,25.1,2024,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2020,6.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2021,2.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2022,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018,105.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019,538.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020,531.4
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,275.8
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2022,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2023,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2024,
Производство радиаторов и котлов центрального отопления,25.21,2024,
Производство радиаторов,25.21.1,2024,5.7
Производство котлов центрального отопления,25.21.2,2024,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2018,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2019,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020,770.0
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,1312.0
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2022,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2023,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2024,1483.0
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024,1483.0
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2024,1483.0
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2024,1483.0
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2022,
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024,3.0
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2024,3.0
Предоставление услуг по производству изделий методом порошковой металлургии,25.50.2,2024,3.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018,68.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019,71.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020,2200.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,287.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,404.0
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,239.9
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,211.0
Обработка металлов и нанесение покрытий на металлы,25.61,2024,205.0
Обработка металлических изделий механическая,25.62,2024,6.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2018,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019,54.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020,22.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021,25.0
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2022,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2023,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2024,
Производство инструмента,25.73,2024,
"Производство компьютеров, электронных и оптических изделий",26,2018,18310.0
"Производство компьютеров, электронных и оптических изделий",26,2019,18495.0
"Производство компьютеров, электронных и оптических изделий",26,2020,24135.6
"Производство компьютеров, электронных и оптических изделий",26,2021,23365.4
"Производство компьютеров, электронных и оптических изделий",26,2022,27516.4
"Производство компьютеров, электронных и оптических изделий",26,2023,27749.4
"Производство компьютеров, электронных и оптических изделий",26,2024,34333.6
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,3629.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,3383.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2020,4403.3
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,3968.8
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,4486.0
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,4789.7
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,6974.1
Производство элементов электронной аппаратуры,26.11,2024,6974.1
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,1118.6
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,2779.0
Производство интегральных электронных схем,26.11.3,2024,
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024,2335.0
Производство компьютеров и периферийного оборудования,26.2,2018,
Производство компьютеров и периферийного оборудования,26.2,2019,
Производство компьютеров и периферийного оборудования,26.2,2020,207.0
Производство компьютеров и периферийного оборудования,26.2,2021,363.4
Производство компьютеров и периферийного оборудования,26.2,2022,1059.5
Производство компьютеров и периферийного оборудования,26.2,2023,1403.2
Производство компьютеров и периферийного оборудования,26.2,2024,2151.1
Производство компьютеров и периферийного оборудования,26.20,2019,
Производство компьютеров и периферийного оборудования,26.20,2020,207.0
Производство компьютеров и периферийного оборудования,26.20,2021,363.4
Производство компьютеров и периферийного оборудования,26.20,2022,1059.5
Производство компьютеров и периферийного оборудования,26.20,2023,1403.2
Производство компьютеров и периферийного оборудования,26.20,2024,2151.1
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2019,
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2020,38.0
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024,870.1
Производство компьютеров,26.20.1,2024,1281.0
Производство коммуникационного оборудования,26.3,2018,7880.0
Производство коммуникационного оборудования,26.3,2019,5178.0
Производство коммуникационного оборудования,26.3,2020,7130.7
Производство коммуникационного оборудования,26.3,2021,7453.2
Производство коммуникационного оборудования,26.3,2022,7853.4
Производство коммуникационного оборудования,26.3,2023,3813.7
Производство коммуникационного оборудования,26.3,2024,6456.9
Производство коммуникационного оборудования,26.30,2019,5178.0
Производство коммуникационного оборудования,26.30,2020,7130.7
Производство коммуникационного оборудования,26.30,2021,7453.2
Производство коммуникационного оборудования,26.30,2022,7853.4
Производство коммуникационного оборудования,26.30,2023,3813.7
Производство коммуникационного оборудования,26.30,2024,6456.9
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2018,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2019,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2020,2033.0
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024,1576.0
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,5645.2
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,1564.4
Производство прочего коммуникационного оборудования,26.30.19,2024,
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2024,
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2024,
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2024,96.8
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024,
Производство бытовой электроники,26.4,2018,225.0
Производство бытовой электроники,26.4,2019,45.0
Производство бытовой электроники,26.4,2020,134.0
Производство бытовой электроники,26.4,2021,57.0
Производство бытовой электроники,26.4,2022,137.1
Производство бытовой электроники,26.4,2023,45.7
Производство бытовой электроники,26.4,2024,
Производство бытовой электроники,26.40,2018,225.0
Производство бытовой электроники,26.40,2019,45.0
Производство бытовой электроники,26.40,2020,134.0
Производство бытовой электроники,26.40,2021,57.0
Производство бытовой электроники,26.40,2022,137.1
Производство бытовой электроники,26.40,2023,45.7
Производство бытовой электроники,26.40,2024,
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2024,4.0
Производство видеомониторов и видеопроекторов,26.40.23,2024,4.0
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2024,
Производство электроакустической аппаратуры,26.40.4,2024,15.8
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2024,
Производство контрольно,26.5,2018,5765.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2019,9302.0
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2020,11664.6
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,10834.2
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,13240.7
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,16912.6
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,17801.2
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,17801.2
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2018,3765.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2019,4894.0
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2020,7098.7
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,13340.0
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,3319.1
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,95.6
Производство приборов для контроля прочих физических величин,26.51.5,2024,366.1
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,646.4
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2018,306.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2019,214.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2020,97.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2021,130.8
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2022,174.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2023,271.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2024,285.0
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024,285.0
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024,148.0
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024,
"Производство оптических приборов, фото",26.7,2018,458.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2019,326.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2020,499.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2021,558.0
"Производство оптических приборов, фото- и кинооборудования",26.7,2022,565.7
"Производство оптических приборов, фото- и кинооборудования",26.7,2023,513.5
"Производство оптических приборов, фото- и кинооборудования",26.7,2024,
"Производство оптических приборов, фото- и кинооборудования",26.70,2024,
Производство фото- и кинооборудования,26.70.1,2024,
Производство оптических систем обнаружения оружия,26.70.3,2024,210.5
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024,
Производство электрического оборудования,27,2018,2544.0
Производство электрического оборудования,27,2019,2057.0
Производство электрического оборудования,27,2020,2226.0
Производство электрического оборудования,27,2021,2528.0
Производство электрического оборудования,27,2022,1861.6
Производство электрического оборудования,27,2023,2329.0
Производство электрического оборудования,27,2024,2638.2
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно",27.1,2018,1146.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2019,1037.0
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020,1814.9
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021,1128.1
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022,1192.2
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023,1699.9
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024,1659.0
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024,
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024,
Производство электродвигателей,27.11.11,2024,420.0
Производство генераторов,27.11.12,2024,4.0
Производство трансформаторов,27.11.13,2024,
Производство электрической распределительной и регулирующей аппаратуры,27.12,2024,1081.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018,240.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019,205.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020,183.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021,1109.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022,141.0
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023,244.3
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2024,
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2024,
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2024,103.0
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2024,
Производство аккумуляторных батарей и их частей,27.20.22,2024,
Производство прочих аккумуляторов,27.20.23,2024,
Производство кабелей и кабельной арматуры,27.3,2018,374.0
Производство кабелей и кабельной арматуры,27.3,2019,
Производство кабелей и кабельной арматуры,27.3,2020,26.1
Производство кабелей и кабельной арматуры,27.3,2021,96.7
Производство кабелей и кабельной арматуры,27.3,2022,351.3
Производство кабелей и кабельной арматуры,27.3,2023,196.8
Производство кабелей и кабельной арматуры,27.3,2024,395.1
Производство волоконно-оптических кабелей,27.31,2024,2.0
Производство прочих проводов и кабелей для электронного и электрического оборудования,27.32,2024,
Производство кабелей для телефонной связи,27.32.1,2024,
Производство силовых кабелей,27.32.2,2024,
Производство электроустановочных изделий,27.33,2024,
Производство электрических ламп и осветительного оборудования,27.4,2018,
Производство электрических ламп и осветительного оборудования,27.4,2019,
Производство электрических ламп и осветительного оборудования,27.4,2020,60.0
Производство электрических ламп и осветительного оборудования,27.4,2021,62.0
Производство электрических ламп и осветительного оборудования,27.4,2022,65.0
Производство электрических ламп и осветительного оборудования,27.4,2023,77.0
Производство электрических ламп и осветительного оборудования,27.4,2024,79.0
Производство электрических ламп и осветительного оборудования,27.40,2024,79.0
Производство бытовых приборов,27.5,2021,7.0
Производство бытовых приборов,27.5,2022,
Производство прочего электрического оборудования,27.9,2018,737.0
Производство прочего электрического оборудования,27.9,2019,432.0
Производство прочего электрического оборудования,27.9,2020,142.0
Производство прочего электрического оборудования,27.9,2021,125.2
Производство прочего электрического оборудования,27.9,2022,105.1
Производство прочего электрического оборудования,27.9,2023,111.0
Производство прочего электрического оборудования,27.9,2024,293.0
Производство прочего электрического оборудования,27.90,2024,293.0
"Производство электрического оборудования прочего, не включенного в другие группировки",27.90.9,2024,293.0
"Производство машин и оборудования, не включенных в другие группировки",28,2018,4378.0
"Производство машин и оборудования, не включенных в другие группировки",28,2019,5837.0
"Производство машин и оборудования, не включенных в другие группировки",28,2020,3588.9
"Производство машин и оборудования, не включенных в другие группировки",28,2021,4973.5
"Производство машин и оборудования, не включенных в другие группировки",28,2022,5093.8
"Производство машин и оборудования, не включенных в другие группировки",28,2023,5548.4
"Производство машин и оборудования, не включенных в другие группировки",28,2024,5991.1
Производство машин и оборудования общего назначения,28.1,2018,3157.0
Производство машин и оборудования общего назначения,28.1,2019,3232.0
Производство машин и оборудования общего назначения,28.1,2020,902.5
Производство машин и оборудования общего назначения,28.1,2021,1065.8
Производство машин и оборудования общего назначения,28.1,2022,1534.7
Производство машин и оборудования общего назначения,28.1,2023,1459.2
Производство машин и оборудования общего назначения,28.1,2024,1614.9
"Производство двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей",28.11,2024,372.3
"Производство двигателей, кроме авиационных, автомобильных и мотоциклетных",28.11.1,2024,
Производство турбин,28.11.2,2024,
Производство гидравлического и пневматического силового оборудования,28.12,2024,
Производство гидравлических и пневматических силовых установок и двигателей,28.12.1,2024,
Производство гидравлических насосов,28.12.2,2024,1.0
Производство прочих насосов и компрессоров,28.13,2024,830.9
Производство арматуры трубопроводной (арматуры),28.14,2024,
"Производство подшипников, зубчатых передач, элементов механических передач и приводов",28.15,2024,291.0
"Производство корпусов подшипников и подшипников скольжения, зубчатых колес, зубчатых передач и элементов приводов",28.15.2,2024,291.0
Производство прочих машин и оборудования общего назначения,28.2,2018,
Производство прочих машин и оборудования общего назначения,28.2,2019,755.0
Производство прочих машин и оборудования общего назначения,28.2,2020,506.0
Производство прочих машин и оборудования общего назначения,28.2,2021,429.0
Производство прочих машин и оборудования общего назначения,28.2,2022,472.3
Производство прочих машин и оборудования общего назначения,28.2,2023,560.1
Производство прочих машин и оборудования общего назначения,28.2,2024,
Производство ручных инструментов с механизированным приводом,28.24,2024,57.0
Производство промышленного холодильного и вентиляционного оборудования,28.25,2024,
"Производство теплообменных устройств, оборудования для кондиционирования воздуха промышленного холодильного и морозильного оборудования, производство оборудования для фильтрования и очистки газов",28.25.1,2024,
Производство теплообменных устройств и машин для сжижения воздуха или прочих газов,28.25.11,2024,
Производство оборудования для кондиционирования воздуха,28.25.12,2024,267.0
Производство промышленного холодильного и морозильного оборудования,28.25.13,2024,15.7
"Производство прочих машин и оборудования общего назначения, не включенного в другие группировки",28.29,2024,
"Производство оборудования для мойки, заполнения, закупоривания или упаковывания бутылок или прочих емкостей, огнетушителей, распылителей, пароструйных или пескоструйных машин, прокладок",28.29.2,2024,10.0
"Производство огнетушителей, распылителей, пароструйных или пескоструйных машин",28.29.22,2024,10.0
"Производство промышленного, бытового и прочего оборудования для взвешивания и дозировки",28.29.3,2024,
Производство промышленного оборудования для взвешивания и дозировки,28.29.31,2024,
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2018,
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2019,
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2020,10.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2021,27.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2022,
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2023,52.0
Производство машин и оборудования для сельского и лесного хозяйства,28.3,2024,63.9
Производство машин и оборудования для сельского и лесного хозяйства,28.30,2024,63.9
Производство тракторов для сельского хозяйства,28.30.2,2024,18.0
Производство колесных тракторов для сельского хозяйства,28.30.21,2024,18.0
"Производство механических устройств для разбрасывания или распыления жидкостей или порошков, используемых в сельском хозяйстве или садоводстве",28.30.6,2024,45.9
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2018,
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2019,
"Производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",28.4,2020,15.0
