sector,okved2,year,researchers_s
Производство резиновых и пластмассовых изделий,22,2019,239.0
Производство резиновых и пластмассовых изделий,22,2020,229.0
Производство резиновых и пластмассовых изделий,22,2021,207.0
Производство резиновых и пластмассовых изделий,22,2022,208.0
Производство резиновых и пластмассовых изделий,22,2023,287.0
Производство резиновых и пластмассовых изделий,22,2024,292.0
Производство резиновых и пластмассовых изделий,22,2025,268.0
Производство резиновых изделий,22.1,2017,172.0
Производство резиновых изделий,22.1,2018,169.0
Производство резиновых изделий,22.1,2019,212.0
Производство резиновых изделий,22.1,2020,203.0
Производство резиновых изделий,22.1,2021,194.0
Производство резиновых изделий,22.1,2022,182.0
Производство резиновых изделий,22.1,2023,218.0
Производство резиновых изделий,22.1,2024,207.0
Производство резиновых изделий,22.1,2025,196.0
Производство прочих резиновых изделий,22.19,2024,204.0
Производство прочих резиновых изделий,22.19,2025,193.0
Производство изделий из пластмасс,22.2,2024,85.0
Производство изделий из пластмасс,22.2,2025,72.0
"Производство пластмассовых плит, полос, труб и профилей",22.21,2025,23.0
"Производство пластмассовых изделий, используемых в строительстве",22.23,2021,12.0
Производство прочей неметаллической минеральной продукции,23,2017,556.0
Производство прочей неметаллической минеральной продукции,23,2018,259.0
Производство прочей неметаллической минеральной продукции,23,2019,1275.0
Производство прочей неметаллической минеральной продукции,23,2020,552.0
Производство прочей неметаллической минеральной продукции,23,2021,1250.0
Производство прочей неметаллической минеральной продукции,23,2022,1138.0
Производство прочей неметаллической минеральной продукции,23,2023,1180.0
Производство прочей неметаллической минеральной продукции,23,2024,2638.0
Производство прочей неметаллической минеральной продукции,23,2025,2586.0
Производство стекла и изделий из стекла,23.1,2024,227.0
Производство листового стекла,23.11,2020,6.0
Производство листового стекла,23.11,2021,4.0
"Производство листового узорчатого, прокатного (но не обработанного другим способом): армированного стекла",23.11.3,2020,6.0
"Производство листового узорчатого, прокатного (но не обработанного другим способом): армированного стекла",23.11.3,2021,4.0
Формирование и обработка листового стекла,23.12,2020,76.0
