sector,okved2,year,RDsalary_s
Производство прочих технических керамических изделий,23.44,2024,
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2024,
"Производство изделий из бетона, цемента и гипса",23.6,2024,
Производство изделий из бетона для использования в строительстве,23.61,2024,
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2019,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2020,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2021,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2022,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2023,
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2024,
Производство металлургическое,24,2017,975.4407
Производство металлургическое,24,2018,1139.5109
Производство металлургическое,24,2019,1145.1747
Производство металлургическое,24,2020,1049.9948
Производство металлургическое,24,2021,1089.0903999999998
Производство металлургическое,24,2022,1590.3475
Производство металлургическое,24,2023,1797.0233
Производство металлургическое,24,2024,2372.9322
Производство прочих цветных металлов; производство ядерного топлива,24.02.АГ,2017,357.6994
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2018,473.9002
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2019,397.7368
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2020,347.2312
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2024,864.455
"Производство чугуна, стали и ферросплавов",24.1,2017,204.6884
"Производство чугуна, стали и ферросплавов",24.1,2018,288.5492
"Производство чугуна, стали и ферросплавов",24.1,2019,338.4809
"Производство чугуна, стали и ферросплавов",24.1,2020,358.3246
"Производство чугуна, стали и ферросплавов",24.1,2021,389.8059
"Производство чугуна, стали и ферросплавов",24.1,2022,626.351
"Производство чугуна, стали и ферросплавов",24.1,2023,703.5941
"Производство чугуна, стали и ферросплавов",24.10,2024,955.7418
Производство листового горячекатаного стального проката,24.10.3,2024,
Производство листового холоднокатаного стального проката,24.10.4,2024,
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2024,
"Производство стальных труб, полых профилей и фитингов",24.2,2017,104.8395
"Производство стальных труб, полых профилей и фитингов",24.2,2018,123.7797
"Производство стальных труб, полых профилей и фитингов",24.2,2019,115.887
"Производство стальных труб, полых профилей и фитингов",24.2,2020,136.5137
"Производство стальных труб, полых профилей и фитингов",24.2,2021,141.0312
"Производство стальных труб, полых профилей и фитингов",24.2,2022,315.3566
"Производство стальных труб, полых профилей и фитингов",24.2,2023,
"Производство стальных труб, полых профилей и фитингов",24.20,2024,311.2811
Производство бесшовных труб и пустотелых профилей,24.20.1,2019,
Производство бесшовных труб и пустотелых профилей,24.20.1,2020,
Производство бесшовных труб и пустотелых профилей,24.20.1,2021,
Производство бесшовных труб и пустотелых профилей,24.20.1,2022,
Производство бесшовных труб и пустотелых профилей,24.20.1,2023,
Производство бесшовных труб и пустотелых профилей,24.20.1,2024,
Производство сварных труб,24.20.2,2024,
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2017,665.9128000000001
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2018,727.182
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2019,689.6227
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2020,554.0026
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021,556.9884000000001
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2022,648.6399
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023,788.3819
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024,1105.9093
Производство драгоценных металлов,24.41,2024,92.4073
Производство алюминия,24.42,2024,
"Производство свинца, цинка и олова",24.43,2024,
Производство цинка,24.43.2,2024,
Производство меди,24.44,2024,
Литье металлов,24.5,2019,
Литье металлов,24.5,2020,
Литье металлов,24.5,2021,
"Производство готовых металлических изделий, кроме машин и оборудования",25,2017,8112.2316
"Производство готовых металлических изделий, кроме машин и оборудования",25,2018,8401.598699999999
"Производство готовых металлических изделий, кроме машин и оборудования",25,2019,11521.241300000002
"Производство готовых металлических изделий, кроме машин и оборудования",25,2020,12217.6722
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021,13404.9207
"Производство готовых металлических изделий, кроме машин и оборудования",25,2022,14098.3884
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023,16058.7259
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024,17173.871
"Производство готовых металлических изделий, кроме машин, оборудования, оружия и боеприпасов",25.01.АГ,2024,2309.7346
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2017,6811.7485
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2018,7695.5864
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2019,10760.2261
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2020,9774.8114
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024,14864.1364
Производство строительных металлических конструкций и изделий,25.1,2023,
Производство строительных металлических конструкций и изделий,25.1,2024,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023,
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2017,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2018,51.0292
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2019,79.8857
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2020,51.8339
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021,117.9339
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2022,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2023,
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2024,
Производство радиаторов и котлов центрального отопления,25.21,2024,
Производство радиаторов,25.21.1,2024,
Производство котлов центрального отопления,25.21.2,2024,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2017,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2018,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2019,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2020,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2021,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2022,
"Производство паровых котлов, кроме котлов центрального отопления",25.3,2023,
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024,
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2024,
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2024,
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024,
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2024,
Предоставление услуг по производству изделий методом порошковой металлургии,25.50.2,2024,
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2017,
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2018,32.1744
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2019,42.025400000000005
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2020,1205.1476
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2021,670.3408000000001
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022,889.2353
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2023,743.5110999999999
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2024,645.2895
Обработка металлов и нанесение покрытий на металлы,25.61,2024,
Обработка металлических изделий механическая,25.62,2024,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2017,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2018,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2019,13.472
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2020,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2021,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2022,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2023,
"Производство ножевых изделий и столовых приборов, инструментов и универсальных скобяных изделий",25.7,2024,
Производство инструмента,25.73,2024,
"Производство компьютеров, электронных и оптических изделий",26,2017,10420.908
"Производство компьютеров, электронных и оптических изделий",26,2018,9701.1198
"Производство компьютеров, электронных и оптических изделий",26,2019,10167.4864
"Производство компьютеров, электронных и оптических изделий",26,2020,13089.3193
"Производство компьютеров, электронных и оптических изделий",26,2021,13026.109
"Производство компьютеров, электронных и оптических изделий",26,2022,15858.6944
"Производство компьютеров, электронных и оптических изделий",26,2023,21311.1149
"Производство компьютеров, электронных и оптических изделий",26,2024,30979.2552
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2017,2417.4587
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2018,1592.0437
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2019,1513.3922
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2020,2561.0512000000003
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2021,1484.1846
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2022,2103.9367
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2023,2402.7862
Производство элементов электронной аппаратуры и печатных схем (плат),26.1,2024,3591.5449
Производство элементов электронной аппаратуры,26.11,2024,3591.5449
Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,26.11.1,2024,651.0918
"Производство диодов, транзисторов и прочих полупроводниковых приборов, включая светоизлучающие диоды, пьезоэлектрические приборы и их части",26.11.2,2024,1012.6171
Производство интегральных электронных схем,26.11.3,2024,851.5391
"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",26.11.9,2024,967.2431
Производство компьютеров и периферийного оборудования,26.2,2017,40.9801
Производство компьютеров и периферийного оборудования,26.2,2018,
 Производство компьютеров и периферийного оборудования,26.20,2019,
 Производство компьютеров и периферийного оборудования,26.20,2020,301.49670000000003
 Производство компьютеров и периферийного оборудования,26.20,2021,170.9504
 Производство компьютеров и периферийного оборудования,26.20,2022,1033.5461
Производство компьютеров и периферийного оборудования,26.20,2023,2954.3784
Производство компьютеров и периферийного оборудования,26.20,2024,2475.384
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2019,
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2020,
"Производство устройств автоматической обработки данных, информационных и телекоммуникационных систем",26.20.04.АГ,2024,556.5677
Производство компьютеров,26.20.1,2024,1918.8163
Производство коммуникационного оборудования,26.3,2017,2700.6806
Производство коммуникационного оборудования,26.3,2018,3672.4756
Производство коммуникационного оборудования,26.30,2019,3068.6203
Производство коммуникационного оборудования,26.30,2020,3408.1522
Производство коммуникационного оборудования,26.30,2021,3749.8747
Производство коммуникационного оборудования,26.30,2022,4334.8513
Производство коммуникационного оборудования,26.30,2023,3923.1999
Производство коммуникационного оборудования,26.30,2024,7335.4837
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2018,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2019,
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2020,584.0641999999999
"Производство прочего коммуникационного оборудования, не включенного в другие группировки",26.30.01.АГ,2024,1234.774
"Производство коммуникационной аппаратуры, радио- и телевизионной передающей аппаратуры, телевизионных камер",26.30.1,2024,6542.6866
"Производство средств связи, выполняющих функцию систем коммутации",26.30.11,2024,2416.3286000000003
Производство радио- и телевизионной передающей аппаратуры,26.30.17,2024,2325.0877
Производство прочего коммуникационного оборудования,26.30.19,2024,566.4963
"Производство оконечного (пользовательского) оборудования телефонной или телеграфной связи, аппаратуры видеосвязи",26.30.2,2024,
"Производство прочих телефонных аппаратов, устройств и аппаратуры для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)",26.30.29,2024,
"Производство антенн, антенных отражателей всех видов и их деталей",26.30.4,2024,
Производство охранно-пожарной сигнализации и аналогичных приборов,26.30.6,2024,93.543
Производство бытовой электроники,26.4,2017,445.4942
Производство бытовой электроники,26.40,2018,143.5517
Производство бытовой электроники,26.40,2019,43.134800000000006
Производство бытовой электроники,26.40,2020,65.457
Производство бытовой электроники,26.40,2021,47.2165
Производство бытовой электроники,26.40,2022,55.4433
Производство бытовой электроники,26.40,2023,98.0571
Производство бытовой электроники,26.40,2024,92.5684
"Производство телевизионных приемников, включая видеомониторы и видеопроекторы",26.40.2,2024,
Производство видеомониторов и видеопроекторов,26.40.23,2024,
Производство аппаратуры для записи и воспроизведения звука и изображения,26.40.3,2024,
Производство электроакустической аппаратуры,26.40.4,2024,
Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,26.40.5,2024,
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2017,4103.0586
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2018,3814.581
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2019,5144.3772
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2020,6397.8561
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2021,7232.776599999999
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2022,7940.1276
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2023,11354.6557
Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,26.5,2024,16701.1959
"Производство инструментов и приборов для измерения, тестирования и навигации",26.51,2024,16701.1959
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2017,2653.2264
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2018,2382.012
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2019,3106.3516
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2020,4091.7358
"Производство прочих инструментов и приборов для измерения, тестирования и навигации",26.51.02.АГ,2024,12406.4205
"Производство навигационных, метеорологических, геодезических, геофизических и аналогичного типа приборов, аппаратуры и инструментов",26.51.1,2024,3110.9989
Производство приборов и аппаратуры для измерения электрических величин или ионизирующих излучений,26.51.4,2024,177.8433
Производство приборов для контроля прочих физических величин,26.51.5,2024,380.3238
"Производство прочих приборов, датчиков, аппаратуры и инструментов для измерения, контроля и испытаний",26.51.6,2024,595.8272
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2017,115.9625
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2018,139.2316
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2019,151.4654
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2020,76.159
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2021,98.8812
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2022,144.6496
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.6,2023,289.2148
"Производство облучающего и электротерапевтического оборудования, применяемого в медицинских целях",26.60,2024,334.7599
"Производство аппаратов, применяемых в медицинских целях, основанных на использовании рентгеновского, альфа-, бета- и гамма-излучений",26.60.1,2024,113.7989
"Производство диагностического и терапевтического оборудования, применяемого в медицинских целях",26.60.5,2024,220.961
"Производство оптических приборов, фото- и кинооборудования",26.7,2017,597.2733000000001
"Производство оптических приборов, фото- и кинооборудования",26.7,2018,300.05409999999995
"Производство оптических приборов, фото- и кинооборудования",26.7,2019,206.1607
"Производство оптических приборов, фото- и кинооборудования",26.7,2020,279.1471
"Производство оптических приборов, фото- и кинооборудования",26.7,2021,242.225
"Производство оптических приборов, фото- и кинооборудования",26.7,2022,246.1398
"Производство оптических приборов, фото- и кинооборудования",26.7,2023,288.8228
"Производство оптических приборов, фото- и кинооборудования",26.70,2024,448.3184
Производство фото- и кинооборудования,26.70.1,2024,68.4519
Производство оптических систем обнаружения оружия,26.70.3,2024,
Производство оптических прицелов и приборов определения координат целей,26.70.6,2024,107.2365
Производство электрического оборудования,27,2017,1168.8872
Производство электрического оборудования,27,2018,1058.3173000000002
Производство электрического оборудования,27,2019,1185.5384
Производство электрического оборудования,27,2020,755.2835
Производство электрического оборудования,27,2021,1070.1567
Производство электрического оборудования,27,2022,1227.2994
Производство электрического оборудования,27,2023,2021.9393
Производство электрического оборудования,27,2024,3069.994
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2017,667.724
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2018,388.8443
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2019,664.6902
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2020,535.562
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2021,541.5267
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2022,805.5709
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2023,1476.2719
"Производство электродвигателей, генераторов, трансформаторов и распределительных устройств, а также контрольно-измерительной аппаратуры",27.1,2024,2070.6371
"Производство электродвигателей, электрогенераторов и трансформаторов",27.11,2024,512.3749
"Производство электродвигателей, генераторов и трансформаторов, кроме ремонта",27.11.1,2024,512.3749
Производство электродвигателей,27.11.11,2024,450.4833
Производство генераторов,27.11.12,2024,
Производство трансформаторов,27.11.13,2024,
Производство электрической распределительной и регулирующей аппаратуры,27.12,2024,1558.2622
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2017,128.7213
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2018,166.51520000000002
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2019,118.1868
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2020,112.8312
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2021,326.9696
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2022,123.2544
Производство электрических аккумуляторов и аккумуляторных батарей,27.2,2023,235.6087
Производство электрических аккумуляторов и аккумуляторных батарей,27.20,2024,216.7381
"Производство первичных элементов, батарей первичных элементов и их частей",27.20.1,2024,138.519
"Производство аккумуляторов, в том числе для автомобилей, аккумуляторных батарей и их составных частей",27.20.2,2024,78.21910000000001
Производство аккумуляторных батарей и их частей,27.20.22,2024,
Производство прочих аккумуляторов,27.20.23,2024,
Производство кабелей и кабельной арматуры,27.3,2017,247.6312
Производство кабелей и кабельной арматуры,27.3,2018,210.1943
Производство кабелей и кабельной арматуры,27.3,2019,
Производство кабелей и кабельной арматуры,27.3,2020,17.302599999999998
Производство кабелей и кабельной арматуры,27.3,2021,19.4483
Производство кабелей и кабельной арматуры,27.3,2022,180.6448
Производство кабелей и кабельной арматуры,27.3,2023,135.6831
Производство кабелей и кабельной арматуры,27.3,2024,479.0063
Производство волоконно-оптических кабелей,27.31,2024,
Производство прочих проводов и кабелей для электронного и электрического оборудования,27.32,2024,345.2531
Производство кабелей для телефонной связи,27.32.1,2024,
Производство силовых кабелей,27.32.2,2024,120.6291
Производство электроустановочных изделий,27.33,2024,133.58120000000002
Производство электрических ламп и осветительного оборудования,27.4,2017,
Производство электрических ламп и осветительного оборудования,27.4,2018,
Производство электрических ламп и осветительного оборудования,27.4,2019,
Производство электрических ламп и осветительного оборудования,27.4,2020,
Производство электрических ламп и осветительного оборудования,27.4,2021,
Производство электрических ламп и осветительного оборудования,27.4,2022,43.843
Производство электрических ламп и осветительного оборудования,27.4,2023,59.1415
Производство электрических ламп и осветительного оборудования,27.40,2024,69.606
Производство прочего электрического оборудования,27.9,2017,109.7917
Производство прочего электрического оборудования,27.9,2018,274.3355
Производство прочего электрического оборудования,27.9,2019,176.8549
Производство прочего электрического оборудования,27.9,2020,62.2247
Производство прочего электрического оборудования,27.9,2021,132.32410000000002
Производство прочего электрического оборудования,27.9,2022,59.505300000000005
Производство прочего электрического оборудования,27.9,2023,115.2341
Производство прочего электрического оборудования,27.90,2024,234.0065
"Производство электрического оборудования прочего, не включенного в другие группировки",27.90.9,2024,234.0065
"Производство машин и оборудования, не включенных в другие группировки",28,2017,2148.3611
"Производство машин и оборудования, не включенных в другие группировки",28,2018,1562.1115
"Производство машин и оборудования, не включенных в другие группировки",28,2019,2485.1374
"Производство машин и оборудования, не включенных в другие группировки",28,2020,3265.3385
"Производство машин и оборудования, не включенных в другие группировки",28,2021,5431.6934
"Производство машин и оборудования, не включенных в другие группировки",28,2022,5717.284
"Производство машин и оборудования, не включенных в другие группировки",28,2023,6924.7924
"Производство машин и оборудования, не включенных в другие группировки",28,2024,11543.3449
Производство машин и оборудования общего назначения,28.1,2017,867.7391
Производство машин и оборудования общего назначения,28.1,2018,854.7678000000001
Производство машин и оборудования общего назначения,28.1,2019,461.4891
Производство машин и оборудования общего назначения,28.1,2020,404.066
