sector,okved2,year,BDusage_s
Производство бутылок и прочих емкостей из стекла или хрусталя,23.13.1,2024.0,6.0
Производство стаканов и прочих сосудов для питья из стекла или хрусталя,23.13.2,2021.0,
Производство стаканов и прочих сосудов для питья из стекла или хрусталя,23.13.2,2023.0,
Производство стаканов и прочих сосудов для питья из стекла или хрусталя,23.13.2,2024.0,
Производство столовой и кухонной посуды из стекла или хрусталя,23.13.3,2021.0,1.0
Производство столовой и кухонной посуды из стекла или хрусталя,23.13.3,2023.0,2.0
Производство столовой и кухонной посуды из стекла или хрусталя,23.13.3,2024.0,2.0
Производство стекловолокна,23.14,2021.0,14.0
Производство стекловолокна,23.14,2023.0,1.0
Производство стекловолокна,23.14,2024.0,1.0
"Производство и обработка прочих стеклянных изделий, включая технические изделия из стекла",23.19,2021.0,6.0
"Производство и обработка прочих стеклянных изделий, включая технические изделия из стекла",23.19,2023.0,2.0
"Производство и обработка прочих стеклянных изделий, включая технические изделия из стекла",23.19,2024.0,2.0
"Производство необработанного стекла в блоках, в виде шаров, прутков, труб или трубок",23.19.1,2021.0,
"Производство необработанного стекла в блоках, в виде шаров, прутков, труб или трубок",23.19.1,2023.0,
"Производство необработанного стекла в блоках, в виде шаров, прутков, труб или трубок",23.19.1,2024.0,
"Производство блоков для мощения, стеклоблоков, плит и прочих изделий из прессованного или отформованного стекла, используемых в строительстве; производство стекла для витражей; производство многоячеистого стекла или пеностекла в блоках, плитах и аналогичных формах",23.19.2,2021.0,
"Производство блоков для мощения, стеклоблоков, плит и прочих изделий из прессованного или отформованного стекла, используемых в строительстве; производство стекла для витражей; производство многоячеистого стекла или пеностекла в блоках, плитах и аналогичных формах",23.19.2,2023.0,
"Производство блоков для мощения, стеклоблоков, плит и прочих изделий из прессованного или отформованного стекла, используемых в строительстве; производство стекла для витражей; производство многоячеистого стекла или пеностекла в блоках, плитах и аналогичных формах",23.19.2,2024.0,
"Производство посуды для лабораторных, фармацевтических и гигиенических целей из стекла; производство ампул и прочих изделий из медицинского стекла",23.19.5,2021.0,3.0
"Производство посуды для лабораторных, фармацевтических и гигиенических целей из стекла; производство ампул и прочих изделий из медицинского стекла",23.19.5,2023.0,1.0
"Производство посуды для лабораторных, фармацевтических и гигиенических целей из стекла; производство ампул и прочих изделий из медицинского стекла",23.19.5,2024.0,1.0
"Производство стеклянных деталей электрических ламп и осветительной арматуры, световых указателей, световых табло и аналогичных изделий",23.19.6,2021.0,
"Производство стеклянных деталей электрических ламп и осветительной арматуры, световых указателей, световых табло и аналогичных изделий",23.19.6,2023.0,
"Производство стеклянных деталей электрических ламп и осветительной арматуры, световых указателей, световых табло и аналогичных изделий",23.19.6,2024.0,
Производство электрических изоляторов из стекла,23.19.7,2021.0,1.0
Производство электрических изоляторов из стекла,23.19.7,2023.0,
Производство электрических изоляторов из стекла,23.19.7,2024.0,1.0
"Производство прочих изделий из стекла, не включенных в другие группировки",23.19.9,2021.0,2.0
"Производство прочих изделий из стекла, не включенных в другие группировки",23.19.9,2023.0,1.0
"Производство прочих изделий из стекла, не включенных в другие группировки",23.19.9,2024.0,
Производство огнеупорных изделий,23.20,2021.0,9.0
Производство огнеупорных изделий,23.20,2023.0,4.0
Производство огнеупорных изделий,23.20,2024.0,1.0
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2021.0,4.0
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2023.0,2.0
"Производство огнеупорных кирпичей, блоков, плиток",23.20.1,2024.0,
"Производство огнеупорных цементов, растворов, бетонов и аналогичных составов",23.20.2,2021.0,
"Производство огнеупорных цементов, растворов, бетонов и аналогичных составов",23.20.2,2023.0,1.0
"Производство огнеупорных цементов, растворов, бетонов и аналогичных составов",23.20.2,2024.0,
Производство безобжиговых огнеупорных изделий,23.20.3,2021.0,1.0
Производство безобжиговых огнеупорных изделий,23.20.3,2023.0,1.0
Производство безобжиговых огнеупорных изделий,23.20.3,2024.0,1.0
Производство прочих огнеупорных керамических изделий,23.20.9,2021.0,1.0
Производство прочих огнеупорных керамических изделий,23.20.9,2023.0,
Производство прочих огнеупорных керамических изделий,23.20.9,2024.0,
Производство строительных керамических материалов,23.3,2021.0,41.0
Производство строительных керамических материалов,23.3,2023.0,25.0
Производство строительных керамических материалов,23.3,2024.0,16.0
Производство керамических плит и плиток,23.31,2021.0,11.0
Производство керамических плит и плиток,23.31,2023.0,8.0
Производство керамических плит и плиток,23.31,2024.0,5.0
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2021.0,30.0
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2023.0,17.0
"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",23.32,2024.0,11.0
Производство прочих фарфоровых и керамических изделий,23.4,2021.0,7.0
Производство прочих фарфоровых и керамических изделий,23.4,2023.0,1.0
Производство прочих фарфоровых и керамических изделий,23.4,2024.0,3.0
Производство хозяйственных и декоративных керамических изделий,23.41,2021.0,2.0
Производство хозяйственных и декоративных керамических изделий,23.41,2023.0,
Производство хозяйственных и декоративных керамических изделий,23.41,2024.0,
Производство столовой и кухонной керамической посуды,23.41.1,2021.0,1.0
Производство столовой и кухонной керамической посуды,23.41.1,2023.0,
Производство столовой и кухонной керамической посуды,23.41.1,2024.0,
Производство керамических санитарно-технических изделий,23.42,2021.0,1.0
Производство керамических санитарно-технических изделий,23.42,2023.0,
Производство керамических санитарно-технических изделий,23.42,2024.0,1.0
Производство керамических изоляторов и изолирующей арматуры,23.43,2021.0,4.0
Производство керамических изоляторов и изолирующей арматуры,23.43,2023.0,1.0
Производство керамических изоляторов и изолирующей арматуры,23.43,2024.0,1.0
Производство прочих технических керамических изделий,23.44,2021.0,
Производство прочих технических керамических изделий,23.44,2023.0,
Производство прочих технических керамических изделий,23.44,2024.0,
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2021.0,
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2023.0,
"Производство керамических изделий лабораторного, химического и промышленного назначения",23.44.1,2024.0,
Производство прочих керамических изделий,23.49,2023.0,
Производство прочих керамических изделий,23.49,2024.0,1.0
"Производство керамических изделий, не включенных в другие группировки",23.49.9,2023.0,
"Производство керамических изделий, не включенных в другие группировки",23.49.9,2024.0,1.0
"Производство цемента, извести и гипса",23.5,2021.0,26.0
"Производство цемента, извести и гипса",23.5,2023.0,23.0
"Производство цемента, извести и гипса",23.5,2024.0,6.0
Производство цемента,23.51,2021.0,19.0
Производство цемента,23.51,2023.0,20.0
Производство цемента,23.51,2024.0,6.0
Производство извести и гипса,23.52,2021.0,7.0
Производство извести и гипса,23.52,2023.0,3.0
Производство извести и гипса,23.52,2024.0,
"Производство негашеной, гашеной и гидравлической извести",23.52.1,2021.0,6.0
"Производство негашеной, гашеной и гидравлической извести",23.52.1,2023.0,3.0
"Производство негашеной, гашеной и гидравлической извести",23.52.1,2024.0,
Производство гипса,23.52.2,2021.0,1.0
Производство гипса,23.52.2,2023.0,
Производство гипса,23.52.2,2024.0,
"Производство изделий из бетона, цемента и гипса",23.6,2021.0,201.0
"Производство изделий из бетона, цемента и гипса",23.6,2023.0,124.0
"Производство изделий из бетона, цемента и гипса",23.6,2024.0,60.0
Производство изделий из бетона для использования в строительстве,23.61,2021.0,118.0
Производство изделий из бетона для использования в строительстве,23.61,2023.0,67.0
Производство изделий из бетона для использования в строительстве,23.61,2024.0,40.0
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2021.0,74.0
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2023.0,42.0
"Производство готовых строительных изделий из бетона, цемента и искусственного камня",23.61.1,2024.0,25.0
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2021.0,31.0
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2023.0,18.0
"Производство сборных строительных конструкций из бетона, цемента и искусственного камня",23.61.2,2024.0,12.0
Производство гипсовых изделий для использования в строительстве,23.62,2021.0,17.0
Производство гипсовых изделий для использования в строительстве,23.62,2023.0,6.0
Производство гипсовых изделий для использования в строительстве,23.62,2024.0,2.0
Производство товарного бетона,23.63,2021.0,21.0
Производство товарного бетона,23.63,2023.0,15.0
Производство товарного бетона,23.63,2024.0,5.0
Производство сухих бетонных смесей,23.64,2021.0,40.0
Производство сухих бетонных смесей,23.64,2023.0,29.0
Производство сухих бетонных смесей,23.64,2024.0,12.0
Производство изделий из хризотилцемента и волокнистого цемента,23.65,2021.0,3.0
Производство изделий из хризотилцемента и волокнистого цемента,23.65,2023.0,2.0
Производство изделий из хризотилцемента и волокнистого цемента,23.65,2024.0,
"Производство строительных материалов из растительного сырья, смешанного с цементом, гипсом или прочими минеральными связующими веществами",23.65.1,2021.0,1.0
"Производство строительных материалов из растительного сырья, смешанного с цементом, гипсом или прочими минеральными связующими веществами",23.65.1,2023.0,
"Производство строительных материалов из растительного сырья, смешанного с цементом, гипсом или прочими минеральными связующими веществами",23.65.1,2024.0,
Производство изделий из хризотилцемента и волокнистого цемента с волокнами целлюлозы или аналогичных материалов,23.65.2,2021.0,2.0
Производство изделий из хризотилцемента и волокнистого цемента с волокнами целлюлозы или аналогичных материалов,23.65.2,2023.0,1.0
Производство изделий из хризотилцемента и волокнистого цемента с волокнами целлюлозы или аналогичных материалов,23.65.2,2024.0,
"Производство прочих изделий из гипса, бетона или цемента",23.69,2021.0,2.0
"Производство прочих изделий из гипса, бетона или цемента",23.69,2023.0,5.0
"Производство прочих изделий из гипса, бетона или цемента",23.69,2024.0,1.0
"Резка, обработка и отделка камня",23.70,2021.0,12.0
"Резка, обработка и отделка камня",23.70,2023.0,4.0
"Резка, обработка и отделка камня",23.70,2024.0,2.0
"Резка, обработка и отделка камня для использования в строительстве в качестве дорожного покрытия",23.70.1,2021.0,6.0
"Резка, обработка и отделка камня для использования в строительстве в качестве дорожного покрытия",23.70.1,2023.0,
"Резка, обработка и отделка камня для использования в строительстве в качестве дорожного покрытия",23.70.1,2024.0,1.0
"Резка, обработка и отделка камня для памятников",23.70.2,2021.0,1.0
"Резка, обработка и отделка камня для памятников",23.70.2,2023.0,
"Резка, обработка и отделка камня для памятников",23.70.2,2024.0,
Производство гранул и порошков из природного камня,23.70.3,2021.0,4.0
Производство гранул и порошков из природного камня,23.70.3,2023.0,1.0
Производство гранул и порошков из природного камня,23.70.3,2024.0,1.0
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2021.0,49.0
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2023.0,35.0
"Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки",23.9,2024.0,19.0
Производство абразивных изделий,23.91,2021.0,2.0
Производство абразивных изделий,23.91,2023.0,3.0
Производство абразивных изделий,23.91,2024.0,2.0
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2021.0,47.0
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2023.0,32.0
"Производство прочей неметаллической минеральной продукции, не включенной в другие группировки",23.99,2024.0,17.0
"Производство обработанных хризотиловых волокон, смесей на основе хризотила и изделий из них",23.99.1,2021.0,4.0
"Производство обработанных хризотиловых волокон, смесей на основе хризотила и изделий из них",23.99.1,2023.0,1.0
"Производство обработанных хризотиловых волокон, смесей на основе хризотила и изделий из них",23.99.1,2024.0,
Производство изделий из асфальта или аналогичных материалов,23.99.2,2021.0,4.0
Производство изделий из асфальта или аналогичных материалов,23.99.2,2023.0,4.0
Производство изделий из асфальта или аналогичных материалов,23.99.2,2024.0,2.0
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.3,2021.0,10.0
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.3,2023.0,4.0
"Производство битуминозных смесей на основе природного асфальта или битума, нефтяного битума, минеральных смол или их пеков",23.99.3,2024.0,2.0
"Производство искусственного графита, коллоидного или полуколлоидного графита, продуктов на основе графита или прочих форм углерода в виде полуфабрикатов",23.99.4,2021.0,3.0
"Производство искусственного графита, коллоидного или полуколлоидного графита, продуктов на основе графита или прочих форм углерода в виде полуфабрикатов",23.99.4,2023.0,2.0
"Производство искусственного графита, коллоидного или полуколлоидного графита, продуктов на основе графита или прочих форм углерода в виде полуфабрикатов",23.99.4,2024.0,
Производство искусственного корунда,23.99.5,2021.0,2.0
Производство искусственного корунда,23.99.5,2023.0,2.0
Производство искусственного корунда,23.99.5,2024.0,
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2021.0,22.0
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2023.0,19.0
Производство минеральных тепло- и звукоизоляционных материалов и изделий,23.99.6,2024.0,2.0
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2021.0,19.0
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2023.0,19.0
Производство минеральных теплоизоляционных материалов и изделий,23.99.61,2024.0,
Производство минеральных звукоизоляционных материалов и изделий,23.99.62,2021.0,
Производство минеральных звукоизоляционных материалов и изделий,23.99.62,2023.0,
Производство минеральных звукоизоляционных материалов и изделий,23.99.62,2024.0,
Производство металлургическое,24,2021.0,204.0
Производство металлургическое,24,2023.0,125.0
Производство металлургическое,24,2024.0,92.0
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2021.0,12.0
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2023.0,8.0
Производство прочих цветных металлов; производство ядерного топлива,24.04.АГ,2024.0,4.0
"Литье легких и прочих цветных металлов, не включенных в другие группировки",24.05.АГ,2021.0,2.0
"Литье легких и прочих цветных металлов, не включенных в другие группировки",24.05.АГ,2023.0,2.0
"Литье легких и прочих цветных металлов, не включенных в другие группировки",24.05.АГ,2024.0,1.0
"Производство чугуна, стали и ферросплавов",24.10,2021.0,51.0
"Производство чугуна, стали и ферросплавов",24.10,2023.0,46.0
"Производство чугуна, стали и ферросплавов",24.10,2024.0,25.0
Производство основных продуктов из железа и стали,24.10.1,2021.0,13.0
Производство основных продуктов из железа и стали,24.10.1,2023.0,2.0
Производство основных продуктов из железа и стали,24.10.1,2024.0,4.0
Производство чугуна,24.10.11,2021.0,2.0
Производство чугуна,24.10.11,2023.0,
Производство чугуна,24.10.11,2024.0,2.0
Производство ферросплавов,24.10.12,2021.0,8.0
Производство ферросплавов,24.10.12,2023.0,1.0
Производство ферросплавов,24.10.12,2024.0,2.0
Производство продуктов прямого восстановления железной руды и губчатого железа,24.10.13,2021.0,2.0
Производство продуктов прямого восстановления железной руды и губчатого железа,24.10.13,2023.0,1.0
Производство продуктов прямого восстановления железной руды и губчатого железа,24.10.13,2024.0,
Производство гранул и порошков из чугуна или стали,24.10.14,2021.0,1.0
Производство гранул и порошков из чугуна или стали,24.10.14,2023.0,
Производство гранул и порошков из чугуна или стали,24.10.14,2024.0,
Производство стали в слитках,24.10.2,2021.0,9.0
Производство стали в слитках,24.10.2,2023.0,20.0
Производство стали в слитках,24.10.2,2024.0,2.0
Производство листового горячекатаного стального проката,24.10.3,2021.0,5.0
Производство листового горячекатаного стального проката,24.10.3,2023.0,6.0
Производство листового горячекатаного стального проката,24.10.3,2024.0,5.0
Производство листового холоднокатаного стального проката,24.10.4,2021.0,2.0
Производство листового холоднокатаного стального проката,24.10.4,2023.0,6.0
Производство листового холоднокатаного стального проката,24.10.4,2024.0,5.0
"Производство листового холоднокатаного стального проката, плакированного, с гальваническим или иным покрытием",24.10.5,2021.0,2.0
"Производство листового холоднокатаного стального проката, плакированного, с гальваническим или иным покрытием",24.10.5,2023.0,1.0
"Производство листового холоднокатаного стального проката, плакированного, с гальваническим или иным покрытием",24.10.5,2024.0,
Производство сортового горячекатаного проката и катанки,24.10.6,2021.0,11.0
Производство сортового горячекатаного проката и катанки,24.10.6,2023.0,8.0
Производство сортового горячекатаного проката и катанки,24.10.6,2024.0,7.0
"Производство незамкнутых стальных профилей горячей обработки, листового проката в пакетах и стального рельсового профиля для железных дорог и трамвайных путей",24.10.7,2021.0,4.0
"Производство незамкнутых стальных профилей горячей обработки, листового проката в пакетах и стального рельсового профиля для железных дорог и трамвайных путей",24.10.7,2023.0,1.0
"Производство незамкнутых стальных профилей горячей обработки, листового проката в пакетах и стального рельсового профиля для железных дорог и трамвайных путей",24.10.7,2024.0,1.0
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2021.0,4.0
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2023.0,2.0
"Производство прочего проката из черных металлов, не включенного в другие группировки",24.10.9,2024.0,1.0
"Производство стальных труб, полых профилей и фитингов",24.20,2021.0,36.0
"Производство стальных труб, полых профилей и фитингов",24.20,2023.0,25.0
"Производство стальных труб, полых профилей и фитингов",24.20,2024.0,25.0
Производство бесшовных труб и пустотелых профилей,24.20.1,2021.0,9.0
Производство бесшовных труб и пустотелых профилей,24.20.1,2023.0,10.0
Производство бесшовных труб и пустотелых профилей,24.20.1,2024.0,12.0
Производство сварных труб,24.20.2,2021.0,15.0
Производство сварных труб,24.20.2,2023.0,9.0
Производство сварных труб,24.20.2,2024.0,10.0
"Производство стальных фитингов для труб, кроме литых",24.20.3,2021.0,7.0
"Производство стальных фитингов для труб, кроме литых",24.20.3,2023.0,4.0
"Производство стальных фитингов для труб, кроме литых",24.20.3,2024.0,1.0
Производство прочих стальных изделий первичной обработкой,24.3,2021.0,29.0
Производство прочих стальных изделий первичной обработкой,24.3,2023.0,10.0
Производство прочих стальных изделий первичной обработкой,24.3,2024.0,17.0
Производство стальных прутков и сплошных профилей методом холодного волочения,24.31,2021.0,
Производство стальных прутков и сплошных профилей методом холодного волочения,24.31,2023.0,
Производство холоднотянутого штрипса,24.32,2021.0,1.0
Производство холоднотянутого штрипса,24.32,2023.0,
Производство холоднотянутого штрипса,24.32,2024.0,
Производство профилей с помощью холодной штамповки или гибки,24.33,2021.0,24.0
Производство профилей с помощью холодной штамповки или гибки,24.33,2023.0,9.0
Производство профилей с помощью холодной штамповки или гибки,24.33,2024.0,13.0
Производство проволоки методом холодного волочения,24.34,2021.0,4.0
Производство проволоки методом холодного волочения,24.34,2023.0,1.0
Производство проволоки методом холодного волочения,24.34,2024.0,4.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2021.0,68.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2023.0,35.0
"Производство основных драгоценных металлов и прочих цветных металлов, производство ядерного топлива",24.4,2024.0,22.0
Производство драгоценных металлов,24.41,2021.0,11.0
Производство драгоценных металлов,24.41,2023.0,2.0
Производство драгоценных металлов,24.41,2024.0,2.0
Производство алюминия,24.42,2021.0,27.0
Производство алюминия,24.42,2023.0,16.0
Производство алюминия,24.42,2024.0,8.0
"Производство свинца, цинка и олова",24.43,2021.0,3.0
"Производство свинца, цинка и олова",24.43,2023.0,
"Производство свинца, цинка и олова",24.43,2024.0,1.0
Производство свинца,24.43.1,2021.0,1.0
Производство свинца,24.43.1,2023.0,
Производство свинца,24.43.1,2024.0,
Производство цинка,24.43.2,2021.0,2.0
Производство цинка,24.43.2,2023.0,
Производство цинка,24.43.2,2024.0,1.0
Производство олова,24.43.3,2021.0,
Производство олова,24.43.3,2023.0,
Производство олова,24.43.3,2024.0,
Производство меди,24.44,2021.0,15.0
Производство меди,24.44,2023.0,9.0
Производство меди,24.44,2024.0,7.0
Литье металлов,24.5,2021.0,20.0
Литье металлов,24.5,2023.0,9.0
Литье металлов,24.5,2024.0,3.0
Литье чугуна,24.51,2021.0,8.0
Литье чугуна,24.51,2023.0,3.0
Литье чугуна,24.51,2024.0,1.0
Литье стали,24.52,2021.0,10.0
Литье стали,24.52,2023.0,4.0
Литье стали,24.52,2024.0,1.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,445.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2023.0,333.0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2024.0,183.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021.0,121.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2023.0,96.0
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,45.0
Производство строительных металлических конструкций и изделий,25.1,2021.0,147.0
Производство строительных металлических конструкций и изделий,25.1,2023.0,121.0
Производство строительных металлических конструкций и изделий,25.1,2024.0,76.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2021.0,135.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2023.0,111.0
"Производство строительных металлических конструкций, изделий и их частей",25.11,2024.0,72.0
Производство металлических дверей и окон,25.12,2021.0,12.0
Производство металлических дверей и окон,25.12,2023.0,10.0
Производство металлических дверей и окон,25.12,2024.0,4.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2021.0,22.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2023.0,22.0
"Производство металлических цистерн, резервуаров и прочих емкостей",25.2,2024.0,17.0
Производство радиаторов и котлов центрального отопления,25.21,2021.0,10.0
Производство радиаторов и котлов центрального отопления,25.21,2023.0,10.0
Производство радиаторов и котлов центрального отопления,25.21,2024.0,8.0
Производство радиаторов,25.21.1,2021.0,5.0
Производство радиаторов,25.21.1,2023.0,5.0
Производство радиаторов,25.21.1,2024.0,6.0
Производство котлов центрального отопления,25.21.2,2021.0,5.0
Производство котлов центрального отопления,25.21.2,2023.0,5.0
Производство котлов центрального отопления,25.21.2,2024.0,2.0
"Производство прочих металлических цистерн, резервуаров и емкостей",25.29,2021.0,12.0
"Производство прочих металлических цистерн, резервуаров и емкостей",25.29,2023.0,12.0
"Производство прочих металлических цистерн, резервуаров и емкостей",25.29,2024.0,9.0
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2021.0,15.0
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2023.0,6.0
"Производство паровых котлов, кроме котлов центрального отопления",25.30,2024.0,2.0
Производство паровых котлов и их частей,25.30.1,2021.0,8.0
Производство паровых котлов и их частей,25.30.1,2023.0,3.0
Производство паровых котлов и их частей,25.30.1,2024.0,1.0
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2021.0,7.0
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2023.0,3.0
"Производство ядерных установок и их составных частей, в том числе для транспортных средств",25.30.2,2024.0,1.0
"Производство ядерных установок, кроме устройств для разделения изотопов",25.30.21,2024.0,
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2021.0,7.0
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2023.0,3.0
"Производство частей ядерных установок, кроме устройств для разделения изотопов",25.30.22,2024.0,1.0
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2021.0,7.0
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2023.0,6.0
"Ковка, прессование, штамповка и профилирование; изготовление изделий методом порошковой металлургии",25.5,2024.0,6.0
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2021.0,7.0
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2023.0,6.0
"Ковка, прессование, штамповка и профилирование, изготовление изделий методом порошковой металлургии",25.50,2024.0,6.0
"Предоставление услуг по ковке, прессованию, объемной и листовой штамповке и профилированию листового металла",25.50.1,2021.0,4.0
"Предоставление услуг по ковке, прессованию, объемной и листовой штамповке и профилированию листового металла",25.50.1,2023.0,2.0
