sector,okved2,year,factoriescap_s,ITcosts_s,skvozcosts_s,trainingcosts_s,x,y,clust
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2020.0,0.2893794711531513,0.2284169610253334,0.0634042797511789,0.0430266148755102,0.01938244977309457,0.10943348206312327,0
Ремонт и монтаж машин и оборудования,33,2024.0,0.0556069505541432,0.1396449429233989,0.0074531484854024,0.0194994145825142,-0.05075132395743433,0.027935517429010806,0
Производство прочих готовых изделий,32,2022.0,0.0141410987789049,0.1033555165623726,0.0162466862277966,0.0148213026689426,-0.04799186780587202,-0.00914059784356741,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2021.0,0.279466900073332,0.2665992629589045,0.1366985904710256,0.198062977636764,0.10355186830757629,0.17701050722057987,3
Обработка металлов и нанесение покрытий на металлы; механическая обработка металлов,25.6,2022.0,0.0238664677986687,0.0627955906613535,0.0006173900101473,0.0123806461605814,-0.06992208453295642,-0.045666997915611074,2
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2022.0,0.068854331878117,0.1352058129757017,0.1368561108990738,0.0168916691326022,0.07612951864143538,0.0019957485804001224,0
"Производство готовых металлических изделий, кроме машин и оборудования",25,2021.0,0.1503864575329697,0.2485262738970128,0.0329489564369647,0.0100338308982141,-0.00872209812818095,0.12418335095557727,0
Производство бумаги и бумажных изделий,17,2024.0,0.0447241697915629,0.0682074184057667,0.0132107551841026,0.0138588288972365,-0.05658465098784536,-0.04217721162113321,2
"Производство, передача и распределение электроэнергии",35.1,2024.0,0.1515758871286064,0.3723100485182066,0.0818746079338895,0.0342311826907383,0.06004441556585488,0.24014076040187748,3
Производство прочих готовых изделий,32,2023.0,0.0163278315933156,0.0666828126015374,0.014979163141923,0.0318898188056771,-0.05440538069454602,-0.0388659074800802,2
Добыча нефти и нефтяного (попутного) газа,06.1,2022.0,0.5664938978953121,0.0441375777426548,0.0126885039896894,0.0140978753323757,-0.060899364483693,-0.06480273429830534,2
"Производство машин и оборудования, не включенных в другие группировки",28,2022.0,0.0736284680574628,0.1387083279053917,0.3924479181001488,0.0323171416739748,0.3294521815538316,-0.03187523512051771,1
Деятельность полиграфическая и копирование носителей информации,18,2022.0,0.0138799966060747,0.0579466594462681,0.0004170732963612,0.0326838214402535,-0.07012618131502243,-0.04454657639583434,2
Добыча металлических руд,07,2021.0,0.0983450030742452,0.0675800344258864,0.3151795903431258,0.0394126388662801,0.24222394301291075,-0.08465439875262598,1
Производство изделий из пластмасс,22.2,2023.0,0.0600777782665773,0.0408119349448337,0.0001656144759089,0.0819023644657885,-0.07124115897069681,-0.04695959385263325,2
Производство молочной продукции,10.5,2022.0,0.0541395556859458,0.0654172313046612,0.0713798642800212,0.0116992992313922,0.0002879820893060825,-0.05486569810489524,2
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2022.0,1.0,0.0621177057945594,0.0443925566378626,0.0140533282785255,-0.026774040411526027,-0.05294819397097227,2
"Производство компьютеров, электронных и оптических изделий",26,2024.0,0.0983493976241955,0.2953775789039377,0.0912822341638509,0.019753805710868,0.05661200140992917,0.1617649645594843,3
Добыча руд цветных металлов,07.2,2024.0,0.0471076907687036,0.0739719423315277,0.3990097305593179,0.0261809819079805,0.3254540541698513,-0.0959158410363184,1
"Производство, передача и распределение электроэнергии",35.1,2022.0,0.1676152121122686,0.3089448808635247,0.0627791831811895,0.0372955739247022,0.031292187867531046,0.18413577237334217,3
Производство пищевых продуктов,10,2023.0,0.3471002275831887,0.0364831056726053,0.0570904397195583,0.0260812530912347,-0.017850397238962076,-0.07590490624472296,2
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2024.0,0.2213182400434738,0.3218334419265262,0.0706103084227081,0.0321121409678925,0.040864125553769934,0.1936114771726843,3
Производство комплектующих и принадлежностей для автотранспортных средств,29.3,2021.0,0.0292384266782093,0.0903145525729279,0.002560979817566,0.0244845059618298,-0.06319673275531856,-0.01655750073995174,2
Производство прочей неметаллической минеральной продукции,23,2021.0,0.0908944538973186,0.0776443116386671,0.0245602845746514,0.0284419956367398,-0.043346604629362816,-0.0310126547445842,2
Производство прочих машин специального назначения,28.9,2021.0,0.0197977718987745,0.1860196117016771,0.0405331040683627,0.0377911371404582,-0.010088716542398304,0.07156275301114863,0
Производство прочих транспортных средств и оборудования,30,2022.0,0.0912058428855867,0.1914215099819718,0.0245049327207676,0.015938913883921,-0.02586769727698069,0.0731673842396043,0
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2022.0,0.0138117444174985,0.0562165363545667,0.000432033607544,0.0322188337206553,-0.07040258606414201,-0.046316213137126847,2
Производство текстильных изделий,13,2022.0,0.0141202897380508,0.0395873717392207,0.044020968462766,0.0076992730649731,-0.030943556130326462,-0.07598466837932277,2
Производство прочих пищевых продуктов,10.8,2023.0,0.0625821142041372,0.0364517244646932,0.0456060609223241,0.0178903015503688,-0.02949382679731894,-0.07636003632710418,2
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2024.0,0.0969697765480504,0.2956287363950519,0.1573218560269798,0.3641275544407625,0.13471621800909567,0.2475612725253779,3
Добыча руд цветных металлов,07.2,2023.0,0.0483415753552965,0.0984014684601408,0.6372137487490449,0.0116399702710638,0.5638085791371591,-0.11553872724933476,4
"Производство прочих транспортных средств, не включенных в другие группировки",30.01.АГ,2023.0,0.0316467055144721,0.0836326232313532,0.1088302730989256,0.0219736172963443,0.040507063899099596,-0.04083653742306888,2
Добыча нефти и природного газа,06,2024.0,0.6375284558981734,0.0590038877784888,0.0042132568017978,0.0112253865033797,-0.06701728701935798,-0.050161882267878974,2
"Производство готовых металлических изделий, не включенных в другие группировки",25.04.АГ,2021.0,0.0709465254370807,0.435589508287944,0.0385058214739574,0.0066375868362174,0.026231009879183045,0.299348444660673,3
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2020.0,0.0819277499653561,0.1735742511172933,0.0054994921081819,0.0111973907817021,-0.04762170847275853,0.0580387190652827,0
Производство пищевых продуктов,10,2024.0,0.3332246866691978,0.0344985539551473,0.0270163041744916,0.0167857699800995,-0.048186619337759765,-0.07549887041029377,2
"Производство компьютеров, электронных и оптических изделий",26,2021.0,0.0734716532203274,0.4520940035093742,0.0129010365285747,0.0178034026903323,0.00399671399998805,0.32224553159674263,3
"Производство машин и оборудования, не включенных в другие группировки",28,2023.0,0.0832659249565975,0.1325354296746165,0.0181643216703646,0.0290739570385517,-0.04094881127537817,0.022145627099781975,0
Производство прочего электрического оборудования,27.9,2023.0,0.0083983971313318,0.0904115966588581,0.3710686922131435,0.0119352006517019,0.29995216302062166,-0.07980543532659584,1
