sector,okved2,year,pBDusage_s
Выращивание прочих однолетних культур,01.19,2023.0,0.08888888888888889
Выращивание прочих однолетних культур,01.19,2024.0,0.07894736842105263
Выращивание однолетних кормовых культур,01.19.1,2021.0,0.4666666666666667
Выращивание однолетних кормовых культур,01.19.1,2023.0,
Выращивание однолетних кормовых культур,01.19.1,2024.0,
Цветоводство,01.19.2,2021.0,0.08695652173913043
Цветоводство,01.19.2,2023.0,0.10344827586206896
Цветоводство,01.19.2,2024.0,0.041666666666666664
Выращивание цветов в открытом и защищенном грунте,01.19.21,2021.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2023.0,
Выращивание цветов в открытом и защищенном грунте,01.19.21,2024.0,1.0
Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур,01.19.3,2023.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2021.0,
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2023.0,0.3333333333333333
"Выращивание прочих однолетних культур, не включенных в другие группировки",01.19.9,2024.0,0.3333333333333333
Выращивание многолетних культур,01.2,2021.0,0.4224137931034483
Выращивание многолетних культур,01.2,2023.0,0.25742574257425743
Выращивание многолетних культур,01.2,2024.0,0.10256410256410256
Выращивание винограда,01.21,2021.0,0.46808510638297873
Выращивание винограда,01.21,2023.0,0.2702702702702703
Выращивание винограда,01.21,2024.0,0.10204081632653061
Выращивание тропических и субтропических культур,01.22,2021.0,
Выращивание цитрусовых культур,01.23,2023.0,
Выращивание семечковых и косточковых культур,01.24,2021.0,0.3055555555555556
Выращивание семечковых и косточковых культур,01.24,2023.0,0.3055555555555556
Выращивание семечковых и косточковых культур,01.24,2024.0,0.16666666666666666
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2021.0,0.52
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2023.0,0.22727272727272727
"Выращивание прочих плодовых деревьев, кустарников и орехов",01.25,2024.0,0.043478260869565216
Выращивание прочих плодовых и ягодных культур,01.25.1,2021.0,0.5909090909090909
Выращивание прочих плодовых и ягодных культур,01.25.1,2023.0,0.25
Выращивание прочих плодовых и ягодных культур,01.25.1,2024.0,0.05
Выращивание семян плодовых и ягодных культур,01.25.2,2021.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2023.0,
Выращивание семян плодовых и ягодных культур,01.25.2,2024.0,
Выращивание орехоплодных культур,01.25.3,2021.0,
Выращивание орехоплодных культур,01.25.3,2023.0,
Выращивание плодов масличных культур,01.26,2021.0,
Выращивание плодов масличных культур,01.26,2024.0,
Выращивание культур для производства напитков,01.27,2021.0,0.5
Выращивание культур для производства напитков,01.27,2023.0,
Выращивание чая,01.27.1,2021.0,0.5
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2021.0,0.5
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2023.0,
"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",01.28,2024.0,
Выращивание хмеля,01.28.2,2024.0,
"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей",01.28.3,2023.0,
Выращивание прочих многолетних культур,01.29,2021.0,0.3333333333333333
Выращивание прочих многолетних культур,01.29,2023.0,
Выращивание прочих многолетних культур,01.29,2024.0,
Выращивание рассады,01.30,2021.0,0.18181818181818182
Выращивание рассады,01.30,2023.0,
Выращивание рассады,01.30,2024.0,
Животноводство,01.4,2021.0,0.3230599889928453
Животноводство,01.4,2023.0,0.16253776435045317
Животноводство,01.4,2024.0,0.09577114427860696
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2021.0,0.29347826086956524
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2023.0,0.14807302231237324
"Разведение молочного крупного рогатого скота, производство сырого молока",01.41,2024.0,0.0911983032873807
Разведение молочного крупного рогатого скота,01.41.1,2021.0,0.31934731934731936
Разведение молочного крупного рогатого скота,01.41.1,2023.0,0.15405405405405406
Разведение молочного крупного рогатого скота,01.41.1,2024.0,0.10619469026548672
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2021.0,0.3217993079584775
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2023.0,0.1440677966101695
"Разведение молочного крупного рогатого скота, кроме племенного",01.41.11,2024.0,0.11428571428571428
Разведение племенного молочного крупного рогатого скота,01.41.12,2021.0,0.3208955223880597
Разведение племенного молочного крупного рогатого скота,01.41.12,2023.0,0.17829457364341086
Разведение племенного молочного крупного рогатого скота,01.41.12,2024.0,0.0975609756097561
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2021.0,0.2591304347826087
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2023.0,0.14202334630350194
"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.2,2024.0,0.08086785009861933
Производство сырого коровьего молока,01.41.21,2021.0,0.2584070796460177
Производство сырого коровьего молока,01.41.21,2023.0,0.13976377952755906
Производство сырого коровьего молока,01.41.21,2024.0,0.08016032064128256
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2021.0,0.5
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2023.0,0.3333333333333333
"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",01.41.29,2024.0,0.125
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2021.0,0.5492957746478874
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2023.0,0.18181818181818182
"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы",01.42,2024.0,0.125
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2021.0,0.6304347826086957
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2023.0,0.15384615384615385
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.1,2024.0,0.14814814814814814
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2021.0,0.5862068965517241
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2023.0,0.15789473684210525
"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо",01.42.11,2024.0,0.17647058823529413
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2021.0,0.375
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2023.0,
"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.",01.42.12,2024.0,
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2021.0,0.4
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2023.0,0.23076923076923078
"Производство бычьей спермы, а также спермы буйволов, яков и др.",01.42.2,2024.0,0.10714285714285714
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2021.0,0.28
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2023.0,0.2
Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,01.43,2024.0,
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2021.0,0.2608695652173913
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2023.0,0.2222222222222222
"Разведение лошадей, ослов, мулов, лошаков",01.43.1,2024.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2021.0,
Разведение верблюдов и прочих животных семейства верблюжьих,01.44,2023.0,
Разведение овец и коз,01.45,2021.0,0.3611111111111111
Разведение овец и коз,01.45,2023.0,0.037037037037037035
Разведение овец и коз,01.45,2024.0,0.037037037037037035
Разведение овец и коз,01.45.1,2021.0,0.3333333333333333
Разведение овец и коз,01.45.1,2023.0,0.047619047619047616
Разведение овец и коз,01.45.1,2024.0,0.047619047619047616
Производство сырого овечьего и козьего молока,01.45.2,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2023.0,
Производство сырой (немытой) шерсти и волоса козы,01.45.3,2024.0,
Разведение племенных овец и коз,01.45.4,2021.0,
Разведение племенных овец и коз,01.45.4,2023.0,
Разведение племенных овец и коз,01.45.4,2024.0,
Разведение свиней,01.46,2021.0,0.32524271844660196
Разведение свиней,01.46,2023.0,0.22395833333333334
Разведение свиней,01.46,2024.0,0.16230366492146597
Выращивание и разведение свиней,01.46.1,2021.0,0.30113636363636365
Выращивание и разведение свиней,01.46.1,2023.0,0.2147239263803681
Выращивание и разведение свиней,01.46.1,2024.0,0.16470588235294117
Выращивание свиней на мясо,01.46.11,2021.0,0.3023255813953488
Выращивание свиней на мясо,01.46.11,2023.0,0.2125
Выращивание свиней на мясо,01.46.11,2024.0,0.16766467065868262
Разведение племенного поголовья свиней,01.46.12,2021.0,0.5
Разведение племенного поголовья свиней,01.46.12,2023.0,0.5
Разведение племенного поголовья свиней,01.46.12,2024.0,
Разведение сельскохозяйственной птицы,01.47,2021.0,0.37583892617449666
Разведение сельскохозяйственной птицы,01.47,2023.0,0.1912751677852349
Разведение сельскохозяйственной птицы,01.47,2024.0,0.09215017064846416
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2021.0,0.38596491228070173
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2023.0,0.16666666666666666
"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",01.47.1,2024.0,0.12121212121212122
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2021.0,0.3793103448275862
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2023.0,0.18181818181818182
Выращивание сельскохозяйственной птицы на мясо,01.47.11,2024.0,0.1038961038961039
Разведение племенной сельскохозяйственной птицы,01.47.12,2021.0,0.38095238095238093
Разведение племенной сельскохозяйственной птицы,01.47.12,2023.0,0.17647058823529413
Разведение племенной сельскохозяйственной птицы,01.47.12,2024.0,0.2
Производство яиц сельскохозяйственной птицы,01.47.2,2021.0,0.3983050847457627
Производство яиц сельскохозяйственной птицы,01.47.2,2023.0,0.2396694214876033
Производство яиц сельскохозяйственной птицы,01.47.2,2024.0,0.06722689075630252
Деятельность инкубаторов для птицеводства,01.47.3,2021.0,
Деятельность инкубаторов для птицеводства,01.47.3,2023.0,
Деятельность инкубаторов для птицеводства,01.47.3,2024.0,
Разведение прочих животных,01.49,2021.0,0.32894736842105265
Разведение прочих животных,01.49,2023.0,0.10526315789473684
Разведение прочих животных,01.49,2024.0,0.02564102564102564
Пчеловодство,01.49.1,2021.0,
Пчеловодство,01.49.1,2024.0,
Пчеловодство медового направления,01.49.11,2021.0,
Пчеловодство медового направления,01.49.11,2024.0,
Пчеловодство опылительного направления,01.49.12,2021.0,
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2021.0,0.18181818181818182
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2023.0,
Разведение кроликов и прочих пушных зверей на фермах,01.49.2,2024.0,0.16666666666666666
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2021.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2023.0,
"Разведение кроликов, производство тонкого волоса кроликов на фермах",01.49.21,2024.0,
Разведение прочих пушных зверей на фермах,01.49.22,2021.0,0.2
Разведение прочих пушных зверей на фермах,01.49.22,2023.0,
Разведение прочих пушных зверей на фермах,01.49.22,2024.0,0.16666666666666666
Разведение шелкопряда,01.49.3,2021.0,
Разведение шелкопряда,01.49.3,2024.0,
Разведение оленей,01.49.4,2021.0,0.3275862068965517
Разведение оленей,01.49.4,2023.0,0.12280701754385964
Разведение оленей,01.49.4,2024.0,0.017241379310344827
