sector,okved2,year,pPCusage_s
"Выращивание семян овощных культур, за исключением семян сахарной свеклы",01.13.4,2024.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2021.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2022.0,1.0
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2023.0,0.9743589743589743
Выращивание сахарной свеклы и семян сахарной свеклы,01.13.5,2024.0,0.9655172413793104
Выращивание сахарной свеклы,01.13.51,2021.0,1.0
Выращивание сахарной свеклы,01.13.51,2022.0,1.0
Выращивание сахарной свеклы,01.13.51,2023.0,0.75
Выращивание сахарной свеклы,01.13.51,2024.0,0.75
Выращивание семян сахарной свеклы,01.13.52,2023.0,
Выращивание грибов и трюфелей,01.13.6,2021.0,1.0
Выращивание грибов и трюфелей,01.13.6,2022.0,1.0
Выращивание грибов и трюфелей,01.13.6,2023.0,1.0
Выращивание грибов и трюфелей,01.13.6,2024.0,0.9166666666666666
"Выращивание овощей, не включенных в другие группировки",01.13.9,2022.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2023.0,1.0
"Выращивание овощей, не включенных в другие группировки",01.13.9,2024.0,1.0
Выращивание волокнистых прядильных культур,01.16,2021.0,1.0
Выращивание волокнистых прядильных культур,01.16,2022.0,
Выращивание волокнистых прядильных культур,01.16,2023.0,1.0
Выращивание волокнистых прядильных культур,01.16,2024.0,1.0
Выращивание льна,01.16.2,2021.0,1.0
Выращивание льна,01.16.2,2022.0,
Выращивание льна,01.16.2,2023.0,1.0
Выращивание обыкновенной конопли,01.16.3,2023.0,1.0
Выращивание обыкновенной конопли,01.16.3,2024.0,1.0
Выращивание прочих однолетних культур,01.19,2021.0,1.0
Выращивание прочих однолетних культур,01.19,2022.0,1.0
Выращивание прочих однолетних культур,01.19,2023.0,0.9555555555555556
Выращивание прочих однолетних культур,01.19,2024.0,1.0263157894736843
Выращивание однолетних кормовых культур,01.19.1,2021.0,1.0
Выращивание однолетних кормовых культур,01.19.1,2022.0,1.0
Выращивание однолетних кормовых культур,01.19.1,2023.0,0.9
Выращивание однолетних кормовых культур,01.19.1,2024.0,1.0
Цветоводство,01.19.2,2021.0,1.0
Цветоводство,01.19.2,2022.0,1.0
Цветоводство,01.19.2,2023.0,0.9655172413793104
Цветоводство,01.19.2,2024.0,1.0416666666666667
Выращивание цветов в открытом и защищенном грунте,01.19.21,2021.0,1.0
Выращивание цветов в открытом и защищенном грунте,01.19.21,2022.0,
