sector,okved2,year,pPCusage_s
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2023.0,1.0038167938931297
Деятельность полиграфическая и предоставление услуг в этой области,18.1,2024.0,0.9442231075697212
Печатание газет,18.11,2021.0,1.0
Печатание газет,18.11,2022.0,1.0
Печатание газет,18.11,2023.0,0.984375
Печатание газет,18.11,2024.0,0.9433962264150944
Прочие виды полиграфической деятельности,18.12,2021.0,1.0
Прочие виды полиграфической деятельности,18.12,2022.0,1.0
Прочие виды полиграфической деятельности,18.12,2023.0,1.0054054054054054
Прочие виды полиграфической деятельности,18.12,2024.0,0.9395604395604396
Изготовление печатных форм и подготовительная деятельность,18.13,2021.0,1.0
Изготовление печатных форм и подготовительная деятельность,18.13,2022.0,1.0
Изготовление печатных форм и подготовительная деятельность,18.13,2023.0,1.0
Изготовление печатных форм и подготовительная деятельность,18.13,2024.0,1.0
Деятельность брошюровочно- переплетная и отделочная и сопутствующие услуги,18.14,2021.0,0.8571428571428571
Деятельность брошюровочно- переплетная и отделочная и сопутствующие услуги,18.14,2022.0,1.0
Деятельность брошюровочно- переплетная и отделочная и сопутствующие услуги,18.14,2023.0,1.2
Деятельность брошюровочно- переплетная и отделочная и сопутствующие услуги,18.14,2024.0,1.0
Копирование записанных носителей информации,18.20,2021.0,1.0
Копирование записанных носителей информации,18.20,2022.0,1.0
Копирование записанных носителей информации,18.20,2023.0,0.8
Копирование записанных носителей информации,18.20,2024.0,0.6666666666666666
Производство кокса и нефтепродуктов,19,2017.0,1.0
Производство кокса и нефтепродуктов,19,2018.0,1.0
Производство кокса и нефтепродуктов,19,2019.0,1.0
Производство кокса и нефтепродуктов,19,2021.0,1.0
Производство кокса и нефтепродуктов,19,2022.0,1.0
Производство кокса и нефтепродуктов,19,2023.0,0.9893048128342246
Производство кокса и нефтепродуктов,19,2024.0,0.9319371727748691
Производство кокса,19.1,2019.0,1.0
Производство кокса,19.10,2021.0,1.0
Производство кокса,19.10,2022.0,1.0
Производство кокса,19.10,2023.0,1.0
Производство кокса,19.10,2024.0,1.0
Производство нефтепродуктов,19.2,2019.0,1.0
Производство нефтепродуктов,19.20,2021.0,1.0
Производство нефтепродуктов,19.20,2022.0,1.0
Производство нефтепродуктов,19.20,2023.0,0.9886363636363636
Производство нефтепродуктов,19.20,2024.0,0.9277777777777778
Производство прочих нефтепродуктов,19.20.1,2018.0,1.0
Производство прочих нефтепродуктов,19.20.1,2019.0,1.0
Производство жидкого топлива,19.20.1,2021.0,1.0
Производство жидкого топлива,19.20.1,2022.0,1.0
Производство жидкого топлива,19.20.1,2023.0,0.9772727272727273
Производство жидкого топлива,19.20.1,2024.0,0.8936170212765957
Разделение и извлечение фракций из нефтяного (попутного) газа,19.20.2,2021.0,1.0
Разделение и извлечение фракций из нефтяного (попутного) газа,19.20.2,2022.0,1.0
Разделение и извлечение фракций из нефтяного (попутного) газа,19.20.2,2023.0,1.0
Разделение и извлечение фракций из нефтяного (попутного) газа,19.20.2,2024.0,1.0
Производство прочих нефтепродуктов,19.20.9,2021.0,1.0
Производство прочих нефтепродуктов,19.20.9,2022.0,1.0
Производство прочих нефтепродуктов,19.20.9,2023.0,0.9894736842105263
Производство прочих нефтепродуктов,19.20.9,2024.0,0.9368421052631579
"Агломерация угля, антрацита и бурого угля (лигнита) и производство термоуглей",19.3,2022.0,1.0
"Агломерация угля, антрацита и бурого угля (лигнита) и производство термоуглей",19.3,2023.0,1.0
"Агломерация угля, антрацита и бурого угля (лигнита) и производство термоуглей",19.3,2024.0,1.0
Агломерация антрацита,19.31,2023.0,1.0
Агломерация антрацита,19.31,2024.0,1.0
Агломерация угля,19.32,2022.0,1.0
Производство химических веществ и химических продуктов,20,2017.0,1.0
Производство химических веществ и химических продуктов,20,2018.0,1.0
Производство химических веществ и химических продуктов,20,2019.0,1.0
Производство химических веществ и химических продуктов,20,2021.0,1.0
Производство химических веществ и химических продуктов,20,2022.0,0.9989550679205852
Производство химических веществ и химических продуктов,20,2023.0,0.9864077669902913
Производство химических веществ и химических продуктов,20,2024.0,0.9553415061295972
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2021.0,1.0
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2022.0,0.9947643979057592
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2023.0,0.9728506787330317
"Производство химических продуктов, не включенных в другие группировки",20.05.АГ,2024.0,0.9629629629629629
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2021.0,1.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2022.0,1.0
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2023.0,0.9890350877192983
"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",20.1,2024.0,0.9429735234215886
Производство промышленных газов,20.11,2021.0,1.0
Производство промышленных газов,20.11,2022.0,1.0
Производство промышленных газов,20.11,2023.0,1.0
Производство промышленных газов,20.11,2024.0,0.9642857142857143
Производство красителей и пигментов,20.12,2021.0,1.0
Производство красителей и пигментов,20.12,2022.0,1.0
Производство красителей и пигментов,20.12,2023.0,0.8823529411764706
Производство красителей и пигментов,20.12,2024.0,0.875
Производство прочих основных неорганических химических веществ,20.13,2021.0,1.0
Производство прочих основных неорганических химических веществ,20.13,2022.0,1.0
Производство прочих основных неорганических химических веществ,20.13,2023.0,1.021978021978022
Производство прочих основных неорганических химических веществ,20.13,2024.0,0.941747572815534
Производство прочих основных органических химических веществ,20.14,2021.0,1.0
Производство прочих основных органических химических веществ,20.14,2022.0,1.0
Производство прочих основных органических химических веществ,20.14,2023.0,0.987012987012987
Производство прочих основных органических химических веществ,20.14,2024.0,0.9213483146067416
Производство углеводородов и их производных,20.14.1,2021.0,1.0
Производство углеводородов и их производных,20.14.1,2022.0,1.0
Производство углеводородов и их производных,20.14.1,2023.0,0.9230769230769231
Производство углеводородов и их производных,20.14.1,2024.0,0.9285714285714286
"Производство спиртов, фенолов, фенолоспиртов и их галогенированных, сульфированных, нитрованных или нитрозированных производных; производство жирных промышленных спиртов",20.14.2,2021.0,1.0
"Производство спиртов, фенолов, фенолоспиртов и их галогенированных, сульфированных, нитрованных или нитрозированных производных; производство жирных промышленных спиртов",20.14.2,2022.0,1.0
"Производство спиртов, фенолов, фенолоспиртов и их галогенированных, сульфированных, нитрованных или нитрозированных производных; производство жирных промышленных спиртов",20.14.2,2023.0,1.0
"Производство спиртов, фенолов, фенолоспиртов и их галогенированных, сульфированных, нитрованных или нитрозированных производных; производство жирных промышленных спиртов",20.14.2,2024.0,1.0
"Производство промышленных монокарбоновых жирных кислот, карбоновых кислот и их производных",20.14.3,2021.0,1.0
"Производство промышленных монокарбоновых жирных кислот, карбоновых кислот и их производных",20.14.3,2022.0,1.0
"Производство промышленных монокарбоновых жирных кислот, карбоновых кислот и их производных",20.14.3,2023.0,1.0
"Производство промышленных монокарбоновых жирных кислот, карбоновых кислот и их производных",20.14.3,2024.0,1.0
Производство органических соединений с азотсодержащими функциональными группами,20.14.4,2022.0,1.0
Производство органических соединений с азотсодержащими функциональными группами,20.14.4,2023.0,1.0
Производство органических соединений с азотсодержащими функциональными группами,20.14.4,2024.0,1.0
Производство сераорганических соединений и прочих элементоорганических соединений,20.14.5,2021.0,1.0
Производство сераорганических соединений и прочих элементоорганических соединений,20.14.5,2022.0,1.0
Производство сераорганических соединений и прочих элементоорганических соединений,20.14.5,2023.0,1.0
Производство сераорганических соединений и прочих элементоорганических соединений,20.14.5,2024.0,1.0
"Производство простых эфиров, органических пероксидов, эпоксидов, ацеталей и полуацеталей, прочих органических соединений",20.14.6,2021.0,1.0
"Производство простых эфиров, органических пероксидов, эпоксидов, ацеталей и полуацеталей, прочих органических соединений",20.14.6,2022.0,1.0
"Производство простых эфиров, органических пероксидов, эпоксидов, ацеталей и полуацеталей, прочих органических соединений",20.14.6,2023.0,1.0
"Производство простых эфиров, органических пероксидов, эпоксидов, ацеталей и полуацеталей, прочих органических соединений",20.14.6,2024.0,2.0
Производство прочих химических органических основных веществ,20.14.7,2021.0,1.0
Производство прочих химических органических основных веществ,20.14.7,2022.0,1.0
Производство прочих химических органических основных веществ,20.14.7,2023.0,1.0
Производство прочих химических органических основных веществ,20.14.7,2024.0,0.8297872340425532
Производство удобрений и азотных соединений,20.15,2021.0,1.0
Производство удобрений и азотных соединений,20.15,2022.0,1.0
Производство удобрений и азотных соединений,20.15,2023.0,0.9690721649484536
Производство удобрений и азотных соединений,20.15,2024.0,0.9607843137254902
"Производство азотных кислот, сульфоазотных кислот, аммиака",20.15.1,2021.0,1.0
"Производство азотных кислот, сульфоазотных кислот, аммиака",20.15.1,2022.0,1.0
"Производство азотных кислот, сульфоазотных кислот, аммиака",20.15.1,2023.0,1.0
"Производство азотных кислот, сульфоазотных кислот, аммиака",20.15.1,2024.0,1.0
Производство азотных минеральных или химических удобрений,20.15.3,2021.0,1.0
Производство азотных минеральных или химических удобрений,20.15.3,2022.0,1.0
Производство азотных минеральных или химических удобрений,20.15.3,2023.0,1.0
Производство азотных минеральных или химических удобрений,20.15.3,2024.0,1.0
Производство фосфорных минеральных или химических удобрений,20.15.4,2021.0,1.0
Производство фосфорных минеральных или химических удобрений,20.15.4,2022.0,1.0
Производство фосфорных минеральных или химических удобрений,20.15.4,2023.0,1.0
Производство фосфорных минеральных или химических удобрений,20.15.4,2024.0,1.0
Производство калийных минеральных или химических удобрений,20.15.5,2021.0,1.0
Производство калийных минеральных или химических удобрений,20.15.5,2022.0,1.0
Производство калийных минеральных или химических удобрений,20.15.5,2023.0,1.0
Производство калийных минеральных или химических удобрений,20.15.5,2024.0,1.0
"Производство удобрений, не включенных в другие группировки",20.15.7,2021.0,1.0
"Производство удобрений, не включенных в другие группировки",20.15.7,2022.0,1.0
"Производство удобрений, не включенных в другие группировки",20.15.7,2023.0,1.0
"Производство удобрений, не включенных в другие группировки",20.15.7,2024.0,0.972972972972973
Производство удобрений животного или растительного происхождения,20.15.8,2021.0,
Производство удобрений животного или растительного происхождения,20.15.8,2022.0,1.0
Производство удобрений животного или растительного происхождения,20.15.8,2023.0,
Производство удобрений животного или растительного происхождения,20.15.8,2024.0,1.0
Производство пластмасс и синтетических смол в первичных формах,20.16,2021.0,1.0
Производство пластмасс и синтетических смол в первичных формах,20.16,2022.0,1.0
Производство пластмасс и синтетических смол в первичных формах,20.16,2023.0,0.9905660377358491
Производство пластмасс и синтетических смол в первичных формах,20.16,2024.0,0.9572649572649573
Производство синтетического каучука в первичных формах,20.17,2021.0,1.0
Производство синтетического каучука в первичных формах,20.17,2022.0,1.0
Производство синтетического каучука в первичных формах,20.17,2023.0,1.0
Производство синтетического каучука в первичных формах,20.17,2024.0,0.75
Производство пестицидов и прочих агрохимических продуктов,20.20,2021.0,1.0
Производство пестицидов и прочих агрохимических продуктов,20.20,2022.0,1.0
Производство пестицидов и прочих агрохимических продуктов,20.20,2023.0,1.0
Производство пестицидов и прочих агрохимических продуктов,20.20,2024.0,0.9789473684210527
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2021.0,1.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2022.0,1.0
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2023.0,0.990990990990991
"Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",20.30,2024.0,0.9624060150375939
Производство красок и лаков на основе полимеров,20.30.1,2021.0,1.0
Производство красок и лаков на основе полимеров,20.30.1,2022.0,1.0
Производство красок и лаков на основе полимеров,20.30.1,2023.0,0.9852941176470589
Производство красок и лаков на основе полимеров,20.30.1,2024.0,0.9878048780487805
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2021.0,1.0
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2022.0,1.0
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2023.0,1.0294117647058822
"Производство прочих красок, лаков, эмалей и аналогичных материалов для нанесения покрытий, художественных и полиграфических красок",20.30.2,2024.0,0.9743589743589743
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2021.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2022.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2023.0,0.984
"Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",20.4,2024.0,0.9530201342281879
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41,2018.0,1.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41,2019.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2021.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2022.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2023.0,1.0
"Производство мыла и моющих, чистящих и полирующих средств",20.41,2024.0,0.927536231884058
Производство глицерина,20.41.1,2024.0,1.0
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2021.0,1.0
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2022.0,1.0
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2023.0,1.0
"Производство органических поверхностно-активных веществ, кроме мыла",20.41.2,2024.0,1.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2021.0,1.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2022.0,1.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2023.0,1.0
"Производство мыла и моющих средств, чистящих и полирующих средств",20.41.3,2024.0,0.975609756097561
Производство средств для ароматизации и дезодорирования воздуха и восков,20.41.4,2021.0,1.0
Производство средств для ароматизации и дезодорирования воздуха и восков,20.41.4,2022.0,1.0
Производство средств для ароматизации и дезодорирования воздуха и восков,20.41.4,2023.0,1.0
Производство средств для ароматизации и дезодорирования воздуха и восков,20.41.4,2024.0,0.8
Производство парфюмерных и косметических средств,20.42,2018.0,1.0
Производство парфюмерных и косметических средств,20.42,2019.0,1.0
Производство парфюмерных и косметических средств,20.42,2021.0,1.0
Производство парфюмерных и косметических средств,20.42,2022.0,1.0
Производство парфюмерных и косметических средств,20.42,2023.0,0.971830985915493
Производство парфюмерных и косметических средств,20.42,2024.0,0.975
Производство прочих химических продуктов,20.5,2021.0,1.0
Производство прочих химических продуктов,20.5,2022.0,0.9950738916256158
Производство прочих химических продуктов,20.5,2023.0,0.9743589743589743
Производство прочих химических продуктов,20.5,2024.0,0.9651162790697675
Производство клеев,20.52,2021.0,1.0
Производство клеев,20.52,2022.0,1.0
Производство клеев,20.52,2023.0,1.0
Производство клеев,20.52,2024.0,1.0
Производство эфирных масел,20.53,2021.0,1.0
Производство эфирных масел,20.53,2022.0,1.0
Производство эфирных масел,20.53,2023.0,1.0
Производство химических волокон,20.60,2021.0,1.0
Производство химических волокон,20.60,2022.0,1.0
Производство химических волокон,20.60,2023.0,1.0
Производство химических волокон,20.60,2024.0,1.0
Производство синтетических волокон,20.60.1,2021.0,1.0
Производство синтетических волокон,20.60.1,2022.0,1.0
Производство синтетических волокон,20.60.1,2023.0,1.0
Производство синтетических волокон,20.60.1,2024.0,1.0
Производство искусственных волокон,20.60.2,2021.0,1.0
Производство искусственных волокон,20.60.2,2022.0,1.0
Производство искусственных волокон,20.60.2,2023.0,1.0
Производство искусственных волокон,20.60.2,2024.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2017.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2018.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2019.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2021.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях",21,2022.0,1.0
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2023.0,0.9671232876712329
"Производство лекарственных средств и материалов, применяемых в медицинских целях и ветеринарии",21,2024.0,0.9468354430379747
Производство фармацевтических субстанций,21.10,2021.0,1.0
Производство фармацевтических субстанций,21.10,2022.0,1.0
Производство фармацевтических субстанций,21.10,2023.0,0.9
Производство фармацевтических субстанций,21.10,2024.0,0.8055555555555556
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2021.0,1.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях",21.20,2022.0,1.0
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2023.0,0.9777777777777777
"Производство лекарственных препаратов и материалов, применяемых в медицинских целях и ветеринарии",21.20,2024.0,0.9610027855153204
Производство лекарственных препаратов,21.20.1,2021.0,1.0
Производство лекарственных препаратов,21.20.1,2022.0,1.0
Производство лекарственных препаратов для медицинского применения,21.20.1,2023.0,0.9803149606299213
Производство лекарственных препаратов для медицинского применения,21.20.1,2024.0,0.972318339100346
"Производство материалов, применяемых в медицинских целях",21.20.2,2021.0,1.0
"Производство материалов, применяемых в медицинских целях",21.20.2,2022.0,1.0
"Производство материалов, применяемых в медицинских целях",21.20.2,2023.0,1.0
"Производство материалов, применяемых в медицинских целях",21.20.2,2024.0,0.9803921568627451
Производство лекарственных препаратов для ветеринарного применения,21.20.3,2024.0,1.0
Производство резиновых и пластмассовых изделий,22,2017.0,1.0
Производство резиновых и пластмассовых изделий,22,2018.0,1.0
Производство резиновых и пластмассовых изделий,22,2019.0,1.0
Производство резиновых и пластмассовых изделий,22,2021.0,0.997539975399754
Производство резиновых и пластмассовых изделий,22,2022.0,1.0
Производство резиновых и пластмассовых изделий,22,2023.0,0.9988317757009346
Производство резиновых и пластмассовых изделий,22,2024.0,0.9540816326530612
Производство резиновых изделий,22.1,2021.0,0.9901960784313726
Производство резиновых изделий,22.1,2022.0,1.0
Производство резиновых изделий,22.1,2023.0,0.98989898989899
Производство резиновых изделий,22.1,2024.0,0.9473684210526315
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2021.0,0.9583333333333334
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2022.0,1.0
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2023.0,1.0
"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек",22.11,2024.0,0.9310344827586207
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19,2018.0,1.0
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19,2019.0,1.0
Производство прочих резиновых изделий,22.19,2021.0,1.0
Производство прочих резиновых изделий,22.19,2022.0,1.0
Производство прочих резиновых изделий,22.19,2023.0,0.9866666666666667
Производство прочих резиновых изделий,22.19,2024.0,0.9529411764705882
"Производство регенерированной резины в первичной форме или в виде пластин, листов или полос (лент)",22.19.1,2021.0,1.0
"Производство регенерированной резины в первичной форме или в виде пластин, листов или полос (лент)",22.19.1,2022.0,1.0
"Производство регенерированной резины в первичной форме или в виде пластин, листов или полос (лент)",22.19.1,2023.0,1.0
"Производство регенерированной резины в первичной форме или в виде пластин, листов или полос (лент)",22.19.1,2024.0,1.0
"Производство резиновых смесей и изделий из них; производство вулканизированной резины в виде нити, корда, пластин, листов, полос, прутков и профилей",22.19.2,2021.0,1.0
"Производство резиновых смесей и изделий из них; производство вулканизированной резины в виде нити, корда, пластин, листов, полос, прутков и профилей",22.19.2,2022.0,1.0
"Производство резиновых смесей и изделий из них; производство вулканизированной резины в виде нити, корда, пластин, листов, полос, прутков и профилей",22.19.2,2023.0,1.0
"Производство резиновых смесей и изделий из них; производство вулканизированной резины в виде нити, корда, пластин, листов, полос, прутков и профилей",22.19.2,2024.0,1.0
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2021.0,1.0
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2022.0,1.0
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2023.0,1.0
"Производство труб, трубок, рукавов и шлангов из вулканизированной резины",22.19.3,2024.0,0.9285714285714286
"Производство конвейерных лент и приводных ремней, бельтинга из вулканизированной резины",22.19.4,2021.0,1.0
"Производство конвейерных лент и приводных ремней, бельтинга из вулканизированной резины",22.19.4,2022.0,1.0
"Производство конвейерных лент и приводных ремней, бельтинга из вулканизированной резины",22.19.4,2023.0,1.0
"Производство конвейерных лент и приводных ремней, бельтинга из вулканизированной резины",22.19.4,2024.0,1.0
Производство предметов одежды и ее аксессуаров из вулканизированной резины,22.19.6,2022.0,1.0
Производство предметов одежды и ее аксессуаров из вулканизированной резины,22.19.6,2023.0,1.0
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2021.0,1.0
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2022.0,1.0
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2023.0,1.0
"Производство изделий из вулканизированной резины, не включенных в другие группировки",22.19.7,2024.0,1.0
Производство изделий из пластмасс,22.2,2021.0,0.9985935302390999
Производство изделий из пластмасс,22.2,2022.0,1.0
Производство изделий из пластмасс,22.2,2023.0,1.0
Производство изделий из пластмасс,22.2,2024.0,0.9549653579676675
"Производство пластмассовых плит, полос, труб и профилей",22.21,2021.0,1.0
"Производство пластмассовых плит, полос, труб и профилей",22.21,2022.0,1.0
"Производство пластмассовых плит, полос, труб и профилей",22.21,2023.0,1.0034364261168385
"Производство пластмассовых плит, полос, труб и профилей",22.21,2024.0,0.9694189602446484
Производство пластмассовых изделий для упаковывания товаров,22.22,2021.0,0.9936305732484076
Производство пластмассовых изделий для упаковывания товаров,22.22,2022.0,1.0
Производство пластмассовых изделий для упаковывания товаров,22.22,2023.0,1.0055555555555555
Производство пластмассовых изделий для упаковывания товаров,22.22,2024.0,0.9454545454545454
"Производство пластмассовых изделий, используемых в строительстве",22.23,2018.0,1.0
"Производство пластмассовых изделий, используемых в строительстве",22.23,2019.0,1.0
"Производство пластмассовых изделий, используемых в строительстве",22.23,2021.0,1.0
"Производство пластмассовых изделий, используемых в строительстве",22.23,2022.0,1.0
"Производство пластмассовых изделий, используемых в строительстве",22.23,2023.0,0.9924812030075187
"Производство пластмассовых изделий, используемых в строительстве",22.23,2024.0,0.9620253164556962
Производство прочих пластмассовых изделий,22.29,2021.0,1.0
Производство прочих пластмассовых изделий,22.29,2022.0,1.0
Производство прочих пластмассовых изделий,22.29,2023.0,0.9934640522875817
Производство прочих пластмассовых изделий,22.29,2024.0,0.9316770186335404
"Производство предметов одежды и аксессуаров для нее, включая перчатки, из пластмасс",22.29.1,2022.0,1.0
"Производство предметов одежды и аксессуаров для нее, включая перчатки, из пластмасс",22.29.1,2023.0,1.0
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных их пластика",22.29.2,2021.0,1.0
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",22.29.2,2022.0,1.0
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",22.29.2,2023.0,1.0081967213114753
"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",22.29.2,2024.0,0.9776119402985075
Предоставление услуг в области производства прочих пластмассовых изделий,22.29.9,2021.0,1.0
Предоставление услуг в области производства прочих пластмассовых изделий,22.29.9,2022.0,1.0
Предоставление услуг в области производства прочих пластмассовых изделий,22.29.9,2023.0,1.0
Предоставление услуг в области производства прочих пластмассовых изделий,22.29.9,2024.0,0.8888888888888888
Производство прочей неметаллической минеральной продукции,23,2017.0,1.0
Производство прочей неметаллической минеральной продукции,23,2018.0,1.0
Производство прочей неметаллической минеральной продукции,23,2019.0,0.9991603694374476
Производство прочей неметаллической минеральной продукции,23,2021.0,0.9983579638752053
